,x,y,w,h,score,match
78,38,1708,49,46,0.79098696,01_10_2023 LG 282 copy 3.jpg
49,73,1346,43,51,0.8019495,01_02_2023 LG 282 copy 9.jpg
71,125,1788,48,42,0.803354,12_13_2022 LG 282 copy.jpg
69,159,1735,48,42,0.8200075,12_13_2022 LG 282 copy.jpg
74,176,1766,60,46,0.7506339,01_10_2023 LG 282 copy 2.jpg
6,237,1606,41,85,0.7204205,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
68,252,1499,48,42,0.7294576,12_13_2022 LG 282 copy.jpg
67,281,1456,48,42,0.800373,12_13_2022 LG 282 copy.jpg
66,319,1367,48,42,0.8247107,12_13_2022 LG 282 copy.jpg
45,358,795,43,51,0.7352434,01_02_2023 LG 282 copy 9.jpg
25,367,763,53,39,0.7406478,01_10_2023 LG 282 copy 4.jpg
73,369,1306,60,46,0.77597624,01_10_2023 LG 282 copy 2.jpg
65,375,1252,48,42,0.8146323,12_13_2022 LG 282 copy.jpg
64,409,1157,48,42,0.7731914,12_13_2022 LG 282 copy.jpg
63,433,1111,48,42,0.78955495,12_13_2022 LG 282 copy.jpg
61,475,1017,48,42,0.7573802,12_13_2022 LG 282 copy.jpg
60,500,974,48,42,0.76803726,12_13_2022 LG 282 copy.jpg
11,505,764,44,37,0.7676387,01_02_2023 LG 282 copy 2.jpg
59,516,924,48,42,0.7342818,12_13_2022 LG 282 copy.jpg
57,544,824,48,42,0.7330074,12_13_2022 LG 282 copy.jpg
58,544,876,48,42,0.78513163,12_13_2022 LG 282 copy.jpg
19,551,735,41,45,0.7582905,01_02_2023 LG 282 copy 7.jpg
10,570,698,44,37,0.75488234,01_02_2023 LG 282 copy 2.jpg
56,586,776,48,42,0.770543,12_13_2022 LG 282 copy.jpg
9,596,660,44,37,0.7203387,01_02_2023 LG 282 copy 2.jpg
77,605,908,49,46,0.79449105,01_10_2023 LG 282 copy 3.jpg
55,612,724,48,42,0.8213382,12_13_2022 LG 282 copy.jpg
5,615,823,41,85,0.744774,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
8,624,613,44,37,0.74574804,01_02_2023 LG 282 copy 2.jpg
53,627,123,48,42,0.783736,12_13_2022 LG 282 copy.jpg
24,637,668,53,39,0.8553897,01_10_2023 LG 282 copy 4.jpg
32,651,195,43,51,0.78832436,01_02_2023 LG 282 copy 9.jpg
54,663,533,48,42,0.8318724,12_13_2022 LG 282 copy.jpg
72,664,616,60,46,0.80499864,01_10_2023 LG 282 copy 2.jpg
18,680,475,41,45,0.7911095,01_02_2023 LG 282 copy 7.jpg
17,692,421,41,45,0.7981964,01_02_2023 LG 282 copy 7.jpg
76,702,556,49,46,0.7513033,01_10_2023 LG 282 copy 3.jpg
42,739,493,43,51,0.8894387,01_02_2023 LG 282 copy 9.jpg
20,740,1088,41,45,0.75969553,01_02_2023 LG 282 copy 7.jpg
39,788,435,43,51,0.8878244,01_02_2023 LG 282 copy 9.jpg
46,799,914,43,51,0.81692183,01_02_2023 LG 282 copy 9.jpg
12,953,284,49,47,0.7460646,01_02_2023 LG 282 copy 3.jpg
7,997,264,44,37,0.7278256,01_02_2023 LG 282 copy 2.jpg
35,1052,233,43,51,0.8283168,01_02_2023 LG 282 copy 9.jpg
34,1101,219,43,51,0.82215494,01_02_2023 LG 282 copy 9.jpg
15,1152,224,41,45,0.72316915,01_02_2023 LG 282 copy 7.jpg
13,1206,216,41,45,0.80372375,01_02_2023 LG 282 copy 7.jpg
33,1245,212,43,51,0.7936673,01_02_2023 LG 282 copy 9.jpg
14,1300,223,41,45,0.7645635,01_02_2023 LG 282 copy 7.jpg
43,1323,503,43,51,0.8212036,01_02_2023 LG 282 copy 9.jpg
36,1389,250,43,51,0.7335183,01_02_2023 LG 282 copy 9.jpg
16,1442,276,41,45,0.7584935,01_02_2023 LG 282 copy 7.jpg
37,1483,308,43,51,0.7415621,01_02_2023 LG 282 copy 9.jpg
22,1539,374,57,43,0.73372835,12_13_2022 LG 282 copy 3.jpg
47,1552,978,43,51,0.8091107,01_02_2023 LG 282 copy 9.jpg
38,1588,399,43,51,0.8390056,01_02_2023 LG 282 copy 9.jpg
40,1627,443,43,51,0.8387933,01_02_2023 LG 282 copy 9.jpg
41,1667,488,43,51,0.85869473,01_02_2023 LG 282 copy 9.jpg
27,1675,1111,53,39,0.82432604,01_10_2023 LG 282 copy 4.jpg
1,1751,626,62,43,0.8285795,12_29_2022 LG 282 copy 2.jpg
44,1790,668,43,51,0.88480496,01_02_2023 LG 282 copy 9.jpg
23,1813,713,47,63,0.79537153,01_02_2023 LG 282 copy 5.jpg
79,1869,853,60,53,0.83926624,01_10_2023 LG 282 copy 12.jpg
26,1904,894,53,39,0.8001477,01_10_2023 LG 282 copy 4.jpg
2,1914,935,62,43,0.8060693,12_29_2022 LG 282 copy 2.jpg
3,1939,972,62,43,0.76144683,12_29_2022 LG 282 copy 2.jpg
62,1986,1062,48,42,0.73145443,12_13_2022 LG 282 copy.jpg
80,2008,1103,60,53,0.75473034,01_10_2023 LG 282 copy 12.jpg
75,2031,1146,50,47,0.78890723,01_10_2023 LG 282 copy 10.jpg
48,2058,1181,43,51,0.8577561,01_02_2023 LG 282 copy 9.jpg
28,2099,1265,53,39,0.7998328,01_10_2023 LG 282 copy 4.jpg
29,2123,1317,53,39,0.81672096,01_10_2023 LG 282 copy 4.jpg
30,2140,1358,53,39,0.82988274,01_10_2023 LG 282 copy 4.jpg
50,2171,1404,43,51,0.84054655,01_02_2023 LG 282 copy 9.jpg
4,2194,1451,62,43,0.74935526,12_29_2022 LG 282 copy 2.jpg
70,2292,1741,48,42,0.78402996,12_13_2022 LG 282 copy.jpg
31,2292,1632,53,39,0.8294953,01_10_2023 LG 282 copy 4.jpg
51,2321,1674,43,51,0.7911063,01_02_2023 LG 282 copy 9.jpg
0,2367,1753,45,72,0.80509156,01_10_2023 LG 282 copy.jpg
81,2384,1823,60,53,0.8003216,01_10_2023 LG 282 copy 12.jpg
52,2416,1861,43,51,0.7933958,01_02_2023 LG 282 copy 9.jpg
21,2505,1452,41,45,0.7661097,01_02_2023 LG 282 copy 7.jpg
