,x,y
0,643,31
1,627,114
2,650,186
3,1194,201
4,1242,201
5,1290,207
6,1099,208
7,1141,208
8,1335,218
9,1048,223
10,1389,239
11,998,253
12,1432,260
13,950,272
14,540,288
15,1381,289
16,1479,298
17,118,307
18,894,317
19,679,342
20,303,351
21,1338,357
22,1546,358
23,1585,388
24,684,410
25,786,424
26,1624,433
27,668,461
28,2203,464
29,1663,477
30,735,483
31,1315,492
32,664,518
33,696,556
34,664,604
35,621,606
36,1753,609
37,976,624
38,1315,645
39,593,649
40,638,652
41,1786,657
42,567,687
43,611,710
44,1812,710
45,538,721
46,363,749
47,502,755
48,585,764
49,352,791
50,612,827
51,1877,834
52,544,865
53,1907,878
54,968,882
55,601,902
56,796,903
57,515,916
58,1921,927
59,1945,963
60,1550,965
61,498,966
62,474,1010
63,1470,1011
64,1991,1045
65,1914,1066
66,728,1074
67,2021,1084
68,1676,1090
69,433,1102
70,1531,1103
71,899,1122
72,2034,1132
73,1911,1133
74,2058,1172
75,1871,1188
76,425,1221
77,373,1241
78,2099,1244
79,994,1252
80,2138,1287
81,366,1294
82,70,1335
83,2142,1349
84,317,1355
85,2175,1392
86,325,1426
87,2213,1428
88,8,1430
89,2496,1438
90,280,1446
91,2262,1502
92,2491,1542
93,2226,1544
94,1475,1552
95,2256,1589
96,2301,1601
97,242,1631
98,2334,1650
99,34,1701
100,2284,1726
101,2374,1745
102,173,1751
103,872,1775
104,2408,1787
105,147,1808
106,2419,1851
107,132,1852
108,30,1883
109,2449,1891
