,x,y
0,1204,56
1,1249,58
2,1149,61
3,1293,62
4,1336,79
5,1057,82
6,1391,95
7,1436,123
8,959,128
9,1482,159
10,1356,160
11,908,170
12,1582,258
13,314,274
14,792,288
15,1623,297
16,345,307
17,177,325
18,751,335
19,2446,337
20,1659,347
21,1691,390
22,292,420
23,675,447
24,206,457
25,1746,481
26,639,499
27,1776,525
28,286,558
29,619,559
30,1798,576
31,591,610
32,1820,622
33,1912,637
34,1844,663
35,1864,706
36,1809,712
37,547,715
38,1887,752
39,519,763
40,1903,797
41,505,814
42,971,825
43,1927,838
44,484,859
45,1950,884
46,450,900
47,1964,926
48,1991,964
49,420,998
50,2015,1004
51,2031,1047
52,2056,1091
53,363,1122
54,2077,1129
55,2101,1168
56,352,1169
57,2119,1213
58,2146,1257
59,294,1300
60,2175,1302
61,261,1345
62,2188,1352
63,249,1396
64,2218,1396
65,233,1446
66,2262,1482
67,203,1487
68,191,1531
69,2284,1531
70,1010,1570
71,2314,1578
72,170,1579
73,2336,1622
74,142,1629
75,128,1675
76,106,1722
77,1901,1739
78,2406,1760
79,194,1787
80,62,1827
81,111,1833
82,500,1887
