,x,y
0,1427,71
1,1381,72
2,1319,75
3,1223,100
4,1517,102
5,1575,107
6,1168,113
7,1473,147
8,1288,154
9,1118,160
10,1331,165
11,1626,180
12,1667,182
13,1068,198
14,1723,257
15,995,265
16,1783,306
17,937,320
18,1828,356
19,885,368
20,1890,436
21,803,477
22,762,534
23,1958,542
24,1981,591
25,752,616
26,705,644
27,2026,689
28,679,700
29,2054,736
30,650,751
31,2067,788
32,625,802
33,2094,833
34,559,834
35,572,896
36,2128,922
37,2039,930
38,550,948
39,2153,969
40,523,993
41,2169,1018
42,499,1038
43,2197,1051
44,475,1085
45,456,1125
46,431,1168
47,2259,1187
48,409,1210
49,2279,1234
50,382,1252
51,2302,1274
52,373,1298
53,276,1339
54,346,1340
55,2348,1366
56,316,1392
57,2379,1420
58,2402,1468
59,2425,1516
60,248,1532
61,2445,1566
62,209,1576
63,2473,1610
64,184,1626
65,2490,1660
66,151,1681
67,2533,1753
68,104,1775
69,2009,1806
70,1935,1882
