,x,y,w,h,score,match
22,187,1637,53,39,0.77042335,01_10_2023 LG 282 copy 4.jpg
55,318,1407,60,46,0.73845637,01_10_2023 LG 282 copy 2.jpg
33,349,1347,43,51,0.74249387,01_02_2023 LG 282 copy 9.jpg
11,379,1260,44,37,0.7294957,01_02_2023 LG 282 copy 2.jpg
13,459,1134,49,47,0.8033765,01_02_2023 LG 282 copy 3.jpg
12,479,1094,49,47,0.78988373,01_02_2023 LG 282 copy 3.jpg
30,502,1046,43,51,0.78602326,01_02_2023 LG 282 copy 9.jpg
54,523,1006,60,46,0.80159193,01_10_2023 LG 282 copy 2.jpg
29,555,955,43,51,0.7491238,01_02_2023 LG 282 copy 9.jpg
47,558,841,48,42,0.76292694,12_13_2022 LG 282 copy.jpg
19,570,913,53,39,0.8230517,01_10_2023 LG 282 copy 4.jpg
27,633,810,43,51,0.8240889,01_02_2023 LG 282 copy 9.jpg
53,652,770,60,46,0.79136914,01_10_2023 LG 282 copy 2.jpg
25,684,710,43,51,0.79365194,01_02_2023 LG 282 copy 9.jpg
2,699,639,45,72,0.75096226,01_10_2023 LG 282 copy.jpg
14,765,624,41,45,0.790149,01_02_2023 LG 282 copy 7.jpg
45,765,549,48,42,0.77455807,12_13_2022 LG 282 copy.jpg
10,809,465,41,85,0.7465466,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
1,877,363,45,72,0.7444162,01_10_2023 LG 282 copy.jpg
23,996,276,43,51,0.89109737,01_02_2023 LG 282 copy 9.jpg
9,1074,183,41,85,0.74473286,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
40,1118,169,48,42,0.73220396,12_13_2022 LG 282 copy.jpg
8,1174,107,41,85,0.772716,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
6,1236,92,41,85,0.7790557,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
39,1279,140,48,42,0.77908546,12_13_2022 LG 282 copy.jpg
5,1328,69,41,85,0.7474749,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
56,1385,86,49,46,0.72222227,01_10_2023 LG 282 copy 3.jpg
0,1471,145,45,72,0.72591525,01_10_2023 LG 282 copy.jpg
7,1524,97,41,85,0.7925598,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
17,1575,127,53,39,0.7694229,01_10_2023 LG 282 copy 4.jpg
41,1667,204,48,42,0.76915985,12_13_2022 LG 282 copy.jpg
16,1725,274,57,43,0.7393323,12_13_2022 LG 282 copy 3.jpg
42,1783,316,48,42,0.8131473,12_13_2022 LG 282 copy.jpg
43,1828,371,48,42,0.8582649,12_13_2022 LG 282 copy.jpg
44,1894,455,48,42,0.81211287,12_13_2022 LG 282 copy.jpg
24,1960,555,43,51,0.8414186,01_02_2023 LG 282 copy 9.jpg
3,1979,602,62,43,0.8170699,12_29_2022 LG 282 copy 2.jpg
46,2025,697,48,42,0.7854246,12_13_2022 LG 282 copy.jpg
15,2047,941,41,45,0.7326527,01_02_2023 LG 282 copy 7.jpg
26,2056,747,43,51,0.84392273,01_02_2023 LG 282 copy 9.jpg
18,2068,803,53,39,0.72949433,01_10_2023 LG 282 copy 4.jpg
28,2096,844,43,51,0.8521373,01_02_2023 LG 282 copy 9.jpg
48,2105,985,48,42,0.7353278,12_13_2022 LG 282 copy.jpg
20,2130,938,53,39,0.74824506,01_10_2023 LG 282 copy 4.jpg
21,2152,986,53,39,0.7623407,01_10_2023 LG 282 copy 4.jpg
31,2198,1061,43,51,0.8075722,01_02_2023 LG 282 copy 9.jpg
32,2260,1197,43,51,0.7746442,01_02_2023 LG 282 copy 9.jpg
49,2348,1377,48,42,0.7844816,12_13_2022 LG 282 copy.jpg
4,2376,1435,62,43,0.8220301,12_29_2022 LG 282 copy 2.jpg
34,2404,1478,43,51,0.8742114,01_02_2023 LG 282 copy 9.jpg
50,2419,1387,48,42,0.7204984,12_13_2022 LG 282 copy.jpg
52,2420,1623,48,42,0.78000426,12_13_2022 LG 282 copy.jpg
35,2428,1528,43,51,0.8208127,01_02_2023 LG 282 copy 9.jpg
36,2449,1576,43,51,0.8928113,01_02_2023 LG 282 copy 9.jpg
37,2473,1620,43,51,0.9001798,01_02_2023 LG 282 copy 9.jpg
38,2496,1672,43,51,0.86129314,01_02_2023 LG 282 copy 9.jpg
51,2507,1573,48,42,0.78903663,12_13_2022 LG 282 copy.jpg
