,x,y,w,h,score,match
3,1,1382,57,75,0.75268805,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 3.jpg
63,170,1620,48,42,0.8520849,12_13_2022 LG 282 copy.jpg
57,207,1565,43,51,0.8560567,01_02_2023 LG 282 copy 9.jpg
56,224,1518,43,51,0.8407206,01_02_2023 LG 282 copy 9.jpg
55,256,1473,43,51,0.87828046,01_02_2023 LG 282 copy 9.jpg
64,270,1849,48,42,0.8022061,12_13_2022 LG 282 copy.jpg
62,295,1392,48,42,0.8524379,12_13_2022 LG 282 copy.jpg
53,329,1335,43,51,0.87454766,01_02_2023 LG 282 copy 9.jpg
5,369,701,41,85,0.7439563,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
50,430,1163,43,51,0.7734421,01_02_2023 LG 282 copy 9.jpg
14,465,1117,41,45,0.7694946,01_02_2023 LG 282 copy 7.jpg
49,500,1033,43,51,0.7844449,01_02_2023 LG 282 copy 9.jpg
46,527,990,43,51,0.777075,01_02_2023 LG 282 copy 9.jpg
12,550,949,49,47,0.8066345,01_02_2023 LG 282 copy 3.jpg
43,577,900,43,51,0.80939615,01_02_2023 LG 282 copy 9.jpg
58,604,1597,43,51,0.7397466,01_02_2023 LG 282 copy 9.jpg
41,606,853,43,51,0.7258508,01_02_2023 LG 282 copy 9.jpg
7,610,1205,44,37,0.73528653,01_02_2023 LG 282 copy 2.jpg
6,643,1170,44,37,0.7447529,01_02_2023 LG 282 copy 2.jpg
10,657,764,49,47,0.79756397,01_02_2023 LG 282 copy 3.jpg
48,694,1025,43,51,0.8634683,01_02_2023 LG 282 copy 9.jpg
37,715,662,43,51,0.8241193,01_02_2023 LG 282 copy 9.jpg
45,720,977,43,51,0.7569675,01_02_2023 LG 282 copy 9.jpg
36,747,611,43,51,0.74847174,01_02_2023 LG 282 copy 9.jpg
42,766,884,43,51,0.7888103,01_02_2023 LG 282 copy 9.jpg
34,775,558,43,51,0.808183,01_02_2023 LG 282 copy 9.jpg
11,791,841,49,47,0.7591274,01_02_2023 LG 282 copy 3.jpg
32,807,507,43,51,0.7876044,01_02_2023 LG 282 copy 9.jpg
39,840,733,43,51,0.8247346,01_02_2023 LG 282 copy 9.jpg
8,846,457,49,47,0.78015333,01_02_2023 LG 282 copy 3.jpg
38,868,683,43,51,0.75770265,01_02_2023 LG 282 copy 9.jpg
29,887,393,43,51,0.8697456,01_02_2023 LG 282 copy 9.jpg
9,896,630,49,47,0.741082,01_02_2023 LG 282 copy 3.jpg
65,902,1288,60,46,0.72674626,01_10_2023 LG 282 copy 2.jpg
28,936,347,43,51,0.77746177,01_02_2023 LG 282 copy 9.jpg
4,1079,626,41,85,0.7649986,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
26,1132,196,43,51,0.78360057,01_02_2023 LG 282 copy 9.jpg
25,1181,160,43,51,0.8710716,01_02_2023 LG 282 copy 9.jpg
22,1238,123,43,51,0.77560693,01_02_2023 LG 282 copy 9.jpg
20,1291,108,43,51,0.82805306,01_02_2023 LG 282 copy 9.jpg
0,1334,86,51,63,0.885599,01_02_2023 LG 282 copy.jpg
44,1351,951,43,51,0.8471444,01_02_2023 LG 282 copy 9.jpg
18,1382,87,43,51,0.8693167,01_02_2023 LG 282 copy 9.jpg
17,1484,83,43,51,0.865732,01_02_2023 LG 282 copy 9.jpg
1,1530,86,51,63,0.874887,01_02_2023 LG 282 copy.jpg
19,1577,106,43,51,0.8459808,01_02_2023 LG 282 copy 9.jpg
21,1626,122,43,51,0.827402,01_02_2023 LG 282 copy 9.jpg
24,1685,154,43,51,0.8673723,01_02_2023 LG 282 copy 9.jpg
27,1801,231,43,51,0.8803072,01_02_2023 LG 282 copy 9.jpg
16,1862,277,47,40,0.7220205,01_10_2023 LG 282 copy 8.jpg
2,1886,309,51,63,0.82914704,01_02_2023 LG 282 copy.jpg
30,1962,402,43,51,0.8435192,01_02_2023 LG 282 copy 9.jpg
13,1962,362,41,45,0.7454114,01_02_2023 LG 282 copy 7.jpg
31,1997,444,43,51,0.7920265,01_02_2023 LG 282 copy 9.jpg
15,2045,497,57,43,0.7565582,12_13_2022 LG 282 copy 3.jpg
33,2059,538,43,51,0.81414586,01_02_2023 LG 282 copy 9.jpg
35,2088,585,43,51,0.76996464,01_02_2023 LG 282 copy 9.jpg
59,2109,634,48,42,0.77651876,12_13_2022 LG 282 copy.jpg
66,2130,671,54,44,0.7614212,01_10_2023 LG 282 copy 11.jpg
40,2184,765,43,51,0.81540567,01_02_2023 LG 282 copy 9.jpg
68,2207,817,55,45,0.7718935,01_10_2023 LG 282 copy 13.jpg
60,2225,858,48,42,0.8160476,12_13_2022 LG 282 copy.jpg
67,2245,895,54,44,0.7438262,01_10_2023 LG 282 copy 11.jpg
61,2281,967,48,42,0.8518287,12_13_2022 LG 282 copy.jpg
47,2325,1020,43,51,0.820107,01_02_2023 LG 282 copy 9.jpg
23,2356,123,43,51,0.7666139,01_02_2023 LG 282 copy 9.jpg
51,2471,1278,43,51,0.852938,01_02_2023 LG 282 copy 9.jpg
52,2501,1323,43,51,0.85355216,01_02_2023 LG 282 copy 9.jpg
54,2529,1373,43,51,0.8185583,01_02_2023 LG 282 copy 9.jpg
