,x,y
0,1306,179
1,1363,184
2,1252,188
3,1466,196
4,1580,201
5,1197,204
6,1529,213
7,1699,221
8,1148,226
9,1569,243
10,1104,253
11,1625,268
12,1666,301
13,1028,324
14,1710,344
15,961,390
16,509,417
17,1783,422
18,924,428
19,1813,462
20,1882,464
21,893,472
22,1843,502
23,863,512
24,1992,517
25,1866,544
26,830,557
27,1891,591
28,1971,601
29,805,604
30,1918,638
31,776,649
32,1940,686
33,748,696
34,1963,738
35,725,743
36,706,782
37,1986,786
38,676,828
39,2004,832
40,657,871
41,2031,874
42,2120,886
43,634,913
44,2041,918
45,2128,948
46,613,962
47,2062,962
48,2163,997
49,589,998
50,2091,1042
51,571,1044
52,549,1082
53,2112,1083
54,535,1124
55,2129,1124
56,2209,1124
57,1760,1156
58,514,1164
59,2141,1166
60,2212,1168
61,497,1209
62,2162,1209
63,475,1247
64,2178,1251
65,2188,1295
66,451,1337
67,2204,1339
68,2223,1378
69,438,1381
70,400,1414
71,2239,1421
72,378,1454
73,2254,1462
74,363,1495
75,2267,1507
76,343,1537
77,2284,1547
78,2121,1560
79,177,1574
80,324,1580
81,2293,1593
82,2420,1636
83,2309,1640
84,286,1662
85,2326,1681
86,265,1708
87,2339,1727
88,240,1750
89,2405,1755
90,2354,1769
91,2480,1782
92,194,1785
93,2187,1787
94,308,1801
95,2371,1809
96,178,1835
97,803,1842
98,1828,1849
99,2384,1855
100,319,1878
101,271,1887
102,1860,1887
