,x,y
0,943,123
1,984,125
2,1271,146
3,890,153
4,1319,159
5,1108,162
6,1377,176
7,1015,191
8,1419,207
9,1461,233
10,868,258
11,1508,278
12,1549,307
13,799,323
14,1622,376
15,798,390
16,737,399
17,1659,418
18,706,445
19,1687,461
20,678,488
21,646,534
22,1747,549
23,623,583
24,1769,599
25,601,629
26,1799,646
27,580,679
28,1823,691
29,560,731
30,1842,735
31,539,769
32,1874,777
33,516,814
34,1906,854
35,475,896
36,454,943
37,1962,981
38,1986,1018
39,421,1020
40,2003,1058
41,399,1068
42,2022,1097
43,385,1110
44,2038,1139
45,371,1154
46,2056,1185
47,352,1194
48,339,1236
49,324,1278
50,323,1335
51,2135,1343
52,271,1403
53,2158,1420
54,2179,1468
55,2196,1512
56,2216,1553
57,2338,1555
58,2232,1595
59,190,1616
60,2249,1638
61,159,1685
62,2283,1705
63,2300,1752
64,2323,1804
