,x,y
0,1273,112
1,1175,121
2,1318,135
3,1218,137
4,1368,137
5,1121,144
6,1072,154
7,1424,160
8,1029,178
9,1371,207
10,1514,226
11,940,246
12,1572,270
13,890,292
14,1609,295
15,856,323
16,1639,332
17,825,362
18,1676,370
19,1715,408
20,766,437
21,1745,449
22,735,487
23,1811,536
24,677,571
25,1837,578
26,651,623
27,1888,657
28,622,664
29,1910,700
30,604,711
31,1937,736
32,579,758
33,1957,776
34,557,799
35,1984,820
36,534,844
37,2008,860
38,2031,903
39,2142,911
40,503,922
41,2055,946
42,473,973
43,2079,982
44,455,1014
45,2094,1023
46,434,1054
47,2112,1063
48,420,1095
49,2136,1099
50,404,1136
51,2170,1168
52,382,1176
53,2194,1208
54,357,1244
55,2217,1245
56,2228,1287
57,340,1288
58,321,1327
59,2256,1352
60,306,1368
61,2289,1420
62,278,1437
63,2307,1464
64,250,1505
65,2360,1570
66,225,1579
67,213,1621
68,2408,1682
69,261,1710
70,2447,1774
71,600,1858
