,x,y,gradient,smoothness,gradient_even,smoothness_even
0,160.5,1859.0,-3.2857142857142856,-0.004395604395603809,-46.0,-0.061538461538453326
3,225.5,1672.0,-2.3074418604651257,-0.007838800506379195,-48.0,-0.017947346770881722
4,243.5,1627.0,-2.7727272727272734,-0.014515560708358494,-45.0,-0.27067423105775745
5,258.5,1582.0,-2.8487903225806406,0.004578517624058295,-44.0,0.08093805704099566
6,274.5,1539.0,-2.610851158645282,0.00971288093288232,-43.0,0.1549430211790721
9,383.0,1281.0,-2.1529411764705912,-0.167971667437321,-43.0,-2.4246554260054793
10,400.0,1240.0,-6.840047534165194,-0.18344976450040318,-43.25,-2.7659536541889307
16,593.0,776.5,-3.089902971497871,-0.008941769940860517,-45.25,-0.24544889131602954
17,607.5,718.5,-3.206837606837606,0.02141390435811276,-49.0,0.46360227939972987
18,625.5,678.5,-2.1626984126984112,0.03611730459556545,-45.0,0.6052303976217015
19,649.5,628.5,-1.996376811594203,0.0047493898218208125,-47.0,0.11374590693508413
20,672.5,584.5,-1.935206598828243,0.0031884341959436055,-45.5,0.07546856028313886
21,696.5,537.5,-1.8454396910279254,0.0005924143860355571,-45.5,0.009792889328461563
22,722.0,493.5,-1.9156208201713198,-0.0026698538340395386,-50.0,-0.06933223772307473
26,973.0,167.0,-0.8588929242583112,0.0027895499737625503,-31.25,0.0898608374275145
27,1007.0,136.0,-0.6916706198608473,0.005211335186920859,-24.5,0.26172747616194547
28,1069.0,118.0,-0.33543797193442026,0.0032195042042168828,-18.5,0.20722494154064341
29,1120.0,99.0,-0.2772207367795605,0.003917425909895438,-14.0,0.18582978142175557
30,1168.0,90.0,0.036221590909090884,0.0007785328739141435,36.0,-0.7750447313034713
31,1296.0,171.0,-1.827310199386503,0.0073223935578949,-3.25,-0.6989188762626262
32,1331.0,83.5,-1.3616161616161615,0.020713587175435342,-32.0,1.1226039633296152
33,1386.0,107.0,0.4178977272727273,0.021963523497944292,32.75,1.0013528266098208
36,1611.0,254.5,1.0200367228231002,0.0012520660658411602,39.0,0.04835299143123151
37,1649.0,294.5,1.0327731621044887,0.00174421760377853,38.5,0.06290024875849598
38,1685.5,331.5,1.1458372203400922,0.07776686698931816,38.0,2.2448927402938184
40,1731.0,479.5,1.0926382047071694,-0.29702676697784103,21.5,-4.166567139284484
41,1744.5,413.5,-2.810575635876843,-0.14259826239938014,-12.0,0.30677636848382184
53,2199.0,1317.0,2.708578431372551,0.41577471502170327,43.0,5.920848456213449
54,2214.0,1360.0,14.088888888888903,0.3576721738078099,46.0,6.106358932461906
57,2289.0,1534.0,-6.014230139230165,0.22038353288352985,43.5,-5.053413600288599
58,2278.0,1583.0,-7.426271645021643,0.054096710346706614,44.0,3.6164900696150823
59,2310.0,1622.0,1.21875,0.27015692640692635,39.0,8.645021645021643
