,x,y,gradient,smoothness,gradient_even,smoothness_even
0,20.0,305.5,6.142533936651584,-0.031045366555360922,1357.5,-6.861026008734764
1,241.0,1663.0,-0.7184920720831798,-0.03667205929291612,633.75,-4.252218776641337
2,284.5,1573.0,-2.361903616631089,-0.008389106656068984,-68.0,-0.7836856060511277
3,303.0,1527.0,-2.285863284185435,-0.0022674621606322727,-70.0,-0.5660262136624787
4,359.0,1433.0,-3.4939560439560466,0.25388044646318225,-128.0,6.851634433554137
5,394.0,1271.0,11.41740558292284,0.4265047170672589,-107.0,6.176406223436485
10,538.0,882.0,-2.184316114530597,0.01118439860346497,-158.25,0.38514997677897433
11,628.5,647.5,-2.053465832894407,0.014622395761404616,-141.5,0.2991979394077793
12,654.0,599.0,-1.5859202357150384,-0.017921461224057435,-45.75,-1.196994955268286
13,693.0,556.0,-4.447455743430979,-0.011358168063036633,-43.5,-1.421597015340585
14,701.5,512.0,-4.429114266396208,0.08315538917316256,-49.25,5.221921233210673
15,730.5,457.5,5.996386722990367,0.1791946262668483,137.5,5.4760407476228945
16,756.0,787.0,6.5229672288495815,-0.16725409492465138,135.75,-6.508712009513831
17,789.0,729.0,-7.021037296037295,-0.23594965347932484,-223.0,-7.840194907685264
18,821.0,341.0,-9.157422586520946,-0.024803061772685677,-230.5,3.126102798345445
19,911.0,268.0,-0.768831699346405,0.04521405560908734,-65.75,4.29645731936541
20,991.0,209.5,-0.5645079477901267,0.002560515004818513,-42.25,0.37539335849043975
21,1203.0,183.5,-0.01804498236552554,0.002116300998479473,-12.75,0.3281382569655585
22,1258.0,184.0,0.09176856614099027,0.0023932284525266505,12.75,0.21447432226484592
23,1360.0,209.0,0.4109036621641663,0.0029787792236917617,58.5,0.35751461124833556
24,1503.0,301.0,0.8067977886376614,0.0019497932526558563,63.5,0.23310583227232812
25,1544.0,336.0,0.8771153267088225,0.001454808615651549,35.5,0.05917682840181904
26,1584.0,372.0,0.9251514454412995,0.0036734324351249386,37.25,0.14909964690176913
27,1624.5,410.5,1.1753146205123608,0.006321809546191069,39.0,0.21988549967277615
28,1654.0,450.0,1.3649224447868518,0.004353566333227355,42.75,0.12836000576113582
29,1687.0,496.0,1.4320346320346324,-0.08176756580240574,45.0,-2.335701963134167
32,1745.0,585.0,48.001843317972344,0.4340067478604354,131.5,-21.875864055299537
34,1807.0,679.0,1.7983229909226122,0.003891809420005953,63.0,0.09802832070116985
35,1844.0,758.0,1.7121856736604038,0.00023898999698768533,62.0,0.0010952739131102618
36,1878.0,803.0,1.8005135387488327,0.004942922073340551,64.0,0.17783030369006836
37,1914.0,886.0,2.0678462810405405,0.005939029933728992,114.0,0.21639913961034818
38,2020.0,1031.0,2.233311817969529,0.02143726878175297,134.0,0.793615600822092
39,2067.0,1154.0,3.6550774826847245,0.0029161766557430358,89.25,0.6743014444725901
40,2081.0,1209.5,3.5819147069147093,-0.006946010978426337,85.5,-0.6299859000395216
41,2155.0,1325.0,2.3951056826056814,-0.004531368283037615,98.75,-0.5914025204917674
42,2185.0,1407.0,2.3991096659311744,-0.0032485794949955703,101.0,-0.478106008824259
43,2264.0,1527.0,1.4388936649571633,-0.16628160674200243,102.0,-9.181484788256197
44,2325.0,1611.0,-15.96385991058122,0.2616059032757738,-63.0,-6.720130136103063
45,2336.0,1401.0,-12.001366607248963,0.4068213765055614,63.5,11.345550403469883
46,2370.0,1738.0,6.727240896358543,0.34130647882048426,210.0,9.25762774806891
47,2426.0,1821.0,6.513888888888857,0.07944566715575518,66.5,0.2078081232493001
48,2433.0,1871.0,7.142857142857143,0.08985260770975513,50.0,0.6289682539682859
