,x,y,gradient,smoothness,gradient_even,smoothness_even
0,138.0,1876.0,-1.375,-0.010416666666666786,-55.0,-0.4166666666666714
1,178.0,1821.0,-1.7916666666666714,-0.01625000000000003,-47.5,-0.40000000000000213
2,198.0,1781.0,-2.1750000000000043,-0.010208333333333292,-43.5,-0.20416666666666572
3,218.0,1734.0,-2.200000000000003,-0.01709644522144469,-44.0,-0.3419289044288938
4,238.0,1693.0,-2.858857808857792,-0.029226953327743777,-42.5,-0.5037042667477385
5,251.0,1649.0,-3.20740853349548,0.0009730353551860131,-67.5,1.0055282436861361
6,284.0,1558.0,-0.8478013214855196,0.006794525477008484,-27.0,0.7613185058338248
7,265.0,1595.0,-1.6847715218278303,0.11854480264058127,-30.5,-1.4944803768243204
8,308.0,1497.0,-3.8367620751341605,-0.001229730439737009,-77.0,-0.988058304824273
9,321.0,1441.0,-3.6608881314763764,0.03121316734819518,-58.5,0.9281849591357076
10,346.5,1380.0,-1.9803921568627452,0.03110545740303538,-50.5,0.7931891637774022
11,372.0,1340.0,-2.074509803921572,-1.4663206459054183,-40.5,-20.7990196078431
14,423.0,1211.0,-1.959001782531196,0.4510987906749152,-42.0,21.281261140819957
15,441.0,1169.0,-2.121969696969696,-0.00805624114447634,-41.5,-0.1566913478678167
16,463.0,1128.0,-2.2723844782668294,-0.010533099157666787,-42.5,-0.1890151515151537
17,480.0,1084.0,-2.5000000000000036,-0.0005827944183593309,-42.5,-0.009907505112108694
18,497.0,1043.0,-2.292199488491047,-0.03252081922922611,-45.0,-0.9662590579710137
19,520.0,994.0,-4.432518115942031,-0.014258312020460628,-48.5,-0.9955669224211459
20,529.0,946.0,-4.2833333333333385,0.0638189379012475,-43.0,1.143770062372779
21,544.0,908.0,-2.1449779911964733,0.03670699048850348,-40.5,-2.3855580693815988
24,609.0,770.0,-2.083602079478368,0.11676507678385652,-49.25,3.2971474156246456
25,631.5,715.5,-2.2334967320261416,0.004658763659793397,-53.0,0.14803672213095265
26,657.0,664.0,-1.7875286352164625,0.009124378712309159,-45.25,0.23453184284032869
27,682.0,625.0,-1.7644330463454843,9.545283914294544e-05,-45.75,0.0011780778521801594
28,708.5,572.5,-1.7851724795121022,0.004639149957359385,-48.0,0.13078111647417767
29,736.0,529.0,-1.502870813397129,0.005425025127894521,-42.0,0.14697220466833194
30,764.5,488.5,-1.4912280701754383,0.003419710979357133,-42.5,0.0974617629116783
31,793.0,444.0,-1.3079472875737723,0.007647171185809355,-38.25,0.23067737166908264
32,824.0,412.0,-1.029873326837273,0.005077994810093063,-35.0,0.14703907764179336
33,861.0,374.0,-1.0138691322901856,0.0016830365626930056,-38.5,0.06652396500593838
34,900.0,335.0,-0.8968253968253963,0.003411050809929962,-36.0,0.1394246455101722
35,942.0,302.0,-0.7350198412698412,0.00407253934337267,-32.75,0.18467872405372376
36,990.0,269.5,-0.5274679487179488,0.003512412072553577,-25.75,0.17223899659041142
37,1042.0,250.5,-0.3905418480890184,0.00330361378289276,-20.75,0.17645815494029793
38,1096.0,228.0,-0.17455163883735292,0.004296915417613928,-10.75,0.20785297774814815
39,1140.0,229.0,0.025164107407277925,0.0017260203045944811,1.5,0.007217290990582992
40,1209.0,231.0,-0.16011705685618693,-4.6003423999483066e-05,-6.0,-0.04968098418492217
41,1257.0,217.0,-0.07419786096256642,0.0042329277765481175,-3.0,0.21708778457499656
42,1308.0,225.0,0.2740585122938062,0.004434611607383624,14.75,0.2254240447772713
43,1362.0,246.5,0.37665022859197617,0.0015863721004394952,19.5,0.08319297211987942
44,1411.0,264.0,0.440444456533565,0.0023829846315697734,22.5,0.12368318989981608
45,1463.0,291.5,0.6240166083916083,0.0036170315810192966,29.25,0.17297654684443486
46,1507.0,322.5,0.7863975502224347,0.0034829022264218157,37.0,0.1608581150991868
47,1556.0,365.5,0.9457328385899819,0.0032254471159919307,41.0,0.14215577766879894
48,1595.0,404.5,1.0707091055600326,0.0008425544047326039,38.75,0.041806021930760995
49,1629.0,443.0,1.029344882451504,-0.0007373855690466242,38.0,-0.023845831327040212
50,1670.5,480.5,1.0230174429059522,0.011851292383065992,37.5,0.35764928986485156
51,1704.0,518.0,1.744643462181207,0.011295295525683258,43.75,0.4098131253635535
52,1727.0,568.0,1.8426436936330592,-0.0025398330386943203,48.0,-0.16508191208607936
53,1761.0,614.0,1.4144796380090483,0.008251863106143259,42.0,0.1004152562501357
54,1787.0,652.0,2.0434742061333306,0.020915377650900947,50.75,0.5328865861674714
55,1811.5,715.5,2.480252810343991,0.017086929930513806,58.5,0.40296391889462857
56,1834.0,769.0,2.849402043922588,0.0012131317114430634,48.75,0.12689040155069264
57,1848.0,813.0,2.7340336134453764,-0.02505301833830062,43.5,-0.5483917723552825
58,1868.0,856.0,1.7526184992120228,0.1098715477686543,40.25,6.808220284952739
61,1930.0,991.0,1.8363396004700352,-0.38314179891966227,45.75,-7.305610879084758
62,1967.0,1028.5,1.3130749170222842,0.10373015771959102,33.5,1.4128175947229655
63,1987.0,1058.0,4.661974789915966,,63.0,
66,2021.0,1190.0,3.292690058479529,,64.0,
67,2039.0,1237.0,2.6527777777777715,-0.031928286720116966,47.75,-0.5747091609621053
68,2057.0,1285.5,2.1432717365553184,-0.022734180955265696,40.0,-0.44013833603616703
69,2106.0,1317.0,1.7725011057054374,0.020881092452075617,36.75,0.11777761641446194
70,2125.0,1359.0,2.3788269693842423,0.1028719341556946,42.5,1.7172442002040036
73,2178.0,1487.0,3.928387996184597,-0.013749124160744475,43.25,-0.738150597048894
74,2187.0,1529.0,3.9018315018315164,-0.11686922013086215,43.0,-5.810850609454803
77,2222.0,1666.0,2.225500345065573,0.47762214161776007,42.0,7.1082225913621215
78,2250.0,1697.0,2.3831118493909145,0.0732267143035589,38.5,0.899604139821518
79,2265.0,1743.0,4.024708624708609,0.03274640156525083,49.0,0.6915736163288138
80,2276.0,1795.0,3.766259082048542,-0.03804971026938975,45.0,-1.1251723477810387
81,2303.0,1833.0,1.7743639291465314,-0.026596861059103354,43.0,-0.8396512801547058
82,2326.0,1881.0,2.0869565217391304,0.013590982286634738,48.0,0.312592592592599
