,x,y,gradient,smoothness,gradient_even,smoothness_even
0,83,1816,-3.125,0.023272017837235648,-50.0,0.37235228539577037
2,122,1715,-1.9682778291705176,-0.0868292940272911,-46.0,-2.1640497059162804
3,146,1674,-7.0807471264367905,0.008558714563688508,-41.0,-2.4194325139861803
4,151,1633,-6.807142857142878,0.19673243735275203,-37.5,1.5212224245020387
5,158,1599,-4.038302277432713,0.3265209255612247,-32.5,2.5311488999983283
6,181,1568,-1.7448450571462217,0.025355500229785596,-34.0,0.8511748497723168
7,199,1531,-2.3359525778880794,-0.017933653073127193,-35.0,-0.34214874244977267
8,212,1498,-2.429142542045767,0.005511493532550871,-37.0,0.16102017316439543
9,230,1457,-2.0139122315592886,0.011625501657871316,-35.5,0.21457127102288354
10,247,1427,-2.0,0.0027356486266520083,-34.0,0.04650602665308412
11,264,1389,-1.9209001782531203,-0.012364671804550698,-32.0,-0.1875
12,280,1363,-2.375,-0.031973357524827994,-38.0,-0.5115737203972479
13,296,1313,-2.944047619047616,0.006385993392572023,-44.5,0.017130895420365277
14,310,1274,-2.3407382091592694,0.03698356158824108,-36.0,0.5742235994642932
15,329,1241,-1.7956004201190296,0.00485114300903805,-37.0,0.02228108149161301
16,351,1200,-2.2961760461760434,-0.0073575630379228985,-38.5,-0.23320913147614597
17,365,1164,-2.2620186830713216,0.003874369304991007,-35.5,0.07238073685441826
18,384,1129,-2.151414572467207,0.0040790737485967565,-39.5,0.07715921233669754
19,402,1085,-2.1077002583979265,0.002723776202068512,-42.5,0.0610294150851427
20,427,1044,-2.0293557422969215,-0.008001939794005597,-40.0,-0.09320869433044976
21,444,1005,-2.294117647058826,0.001015555158233504,-39.0,0.017264437689969547
22,461,966,-1.9948268669169824,0.014211747784964333,-41.5,0.2729912244618138
23,491,922,-1.7481351981351985,-0.007397158015117956,-43.5,-0.08402596048090327
24,513,879,-2.162878787878789,-0.002527626140061967,-42.5,-0.10991381448094639
25,531,837,-1.9679628270970912,0.012619071439687709,-41.0,0.3222604120017909
26,560,797,-1.5183579638752072,-0.009378262827562336,-37.0,-0.06285740654608762
27,581,763,-2.0936776401892665,-0.013556750653783547,-45.5,-0.2773012045425842
28,603,706,-2.0729603729603756,0.011086705320810637,-49.0,0.3841708093419447
29,633,665,-1.325336021505377,0.00740179315004337,-41.0,0.19324961595008983
30,665,624,-1.686461141060196,-0.005895472789076588,-41.0,-0.2053267107208061
31,686,583,-1.7359894429469893,0.0032392741522783534,-43.0,0.16354307053009798
32,718,538,-1.359375,0.008097823199641488,-43.5,0.2591303423885276
33,750,496,-1.217728758169934,0.0019149638232818546,-41.0,0.05443497474747527
34,786,456,-1.2505050505050495,0.00037267926494268314,-40.5,0.00524119067917006
