,x,y,gradient,smoothness,gradient_even,smoothness_even
0,159,1912,-3.2222222222222223,0.016433239962651322,-58.0,0.2957983193277238
1,177,1854,-2.9264239028944985,0.021917538945402673,-51.5,0.37822497420020484
2,194,1809,-2.4657722738218126,0.021986592961825493,-44.0,0.3849363073821337
3,213,1766,-2.156551288130231,-0.009646721024430038,-40.0,-0.15322497420020653
4,231,1729,-2.7722222222222257,-0.009445465202044145,-38.0,-0.26547435593488444
5,243,1690,-2.6875,0.013026738473167668,-35.0,0.21021825396826443
6,259,1659,-2.351785714285697,0.015049297924298141,-34.5,0.2368635531135581
11,332,1479,-2.185828877005342,0.0011478420569329822,-36.0,0.015987076648841025
12,349,1443,-2.218025846702318,0.0014141759357071404,-36.5,0.020123085119216455
13,365,1406,-2.145582706766909,-0.0008074138746406515,-37.0,-0.03163557288944219
14,384,1369,-2.2812969924812023,-0.0025852159045439693,-39.0,-0.057834760698543874
15,400,1328,-2.261252228163997,0.007420028085662639,-37.0,0.1287904196766405
16,417,1295,-2.0237161531279213,0.004827688651218083,-35.5,0.07507055852644129
17,435,1257,-2.1111111111111143,0.00021786492374737537,-38.0,0.003921568627452743
18,453,1219,-2.015873015873016,0.00476771905343347,-39.0,0.09126984126984361
19,474,1179,-1.928571428571427,0.0015407518020758154,-40.5,0.032355787843592054
20,495,1138,-1.9511614401858317,-0.003225319619964709,-40.0,-0.0640206284943119
21,515,1099,-2.056612685560051,-0.0028435760254703,-40.0,-0.05781799408383037
22,534,1058,-2.0667974283534924,0.0014284215657211774,-43.0,0.038681836851170104
23,557,1013,-1.9792490118577106,0.004482005408778862,-43.5,0.09731175765500666
24,578,971,-1.8721739130434791,0.009785986453413643,-42.5,0.24561196674390118
25,603,928,-1.4880250783699083,-0.01265538947697873,-41.0,-0.6270443566095754
26,636,889,-3.12626262626263,-0.016147859458203906,-42.5,-0.8429243977519816
27,648,843,-3.1738738738738714,0.015142415142415454,-45.5,0.6631313131313155
28,673,798,-1.799999999999999,0.02907747747747741,-45.0,0.7269369369369354
29,698,753,-1.7200000000000006,0.0027402298850574477,-43.0,0.06850574712643631
30,723,712,-1.6629885057471263,0.002919541510225141,-45.0,0.0815884538933549
31,752,663,-1.5568230922132908,0.006652382872891039,-44.5,0.18665298303229338
32,780,623,-1.2896825396825395,0.002436975385662437,-40.0,0.01303456197966213
33,816,583,-1.5307539682539666,-0.0027774718758471,-46.0,-0.11674723652901964
34,844,531,-1.5231770127405788,0.0052707972240704625,-45.0,0.19661027289703759
35,878,493,-1.1375334224598914,0.0075491928511157436,-37.5,0.25648676218424304
36,910,456,-1.0102034883720927,0.001451801201058478,-36.0,0.02186459390957074
37,953,421,-1.09380423464075,0.000764045892473527,-32.5,-0.014492850408548197
38,977,391,-1.0391891891891891,0.003920451533915086,-30.0,0.2109867610788685
39,1027,361,-0.671830712483013,0.003210083162110868,-34.0,0.15793074245086602
40,1078,323,-0.7233277042874571,0.0005142033496561161,-34.5,0.0144891139042167
41,1122,292,-0.6428524846745796,0.0033676532935072237,-27.5,0.13866661596789287
42,1163,268,-0.44599447235167133,0.004709868002963441,-19.0,0.21786675834302316
43,1215,254,-0.20711896798853324,0.004446966755977128,-10.5,0.2187313157608468
44,1261,247,-0.00853184082997771,0.0024723926594434403,0.5,0.10935708102241559
45,1313,255,0.011595194056297942,0.0009539169250836926,1.0,0.046521284098923754
46,1362,249,0.0845107273678698,0.002466428913252632,2.5,0.10586319632144892
47,1404,260,0.22332158669919577,0.0019625864792415914,10.0,0.07788387554520426
48,1455,269,0.24027847845827832,0.0018910258829327557,13.0,0.10670299955143125
49,1510,286,0.4367275858020583,0.0022012717272157784,21.0,0.12248978562494939
50,1556,311,0.4852580497081771,0.0019950357114099024,21.0,0.07870950417226763
51,1595,328,0.5941465941465935,0.0050502616410673246,18.0,0.14372873462397195
52,1622,347,0.772715518956121,0.007034155868412587,31.5,0.28031760080632306
53,1671,391,1.1547817957592397,0.0033285035704183515,39.5,0.20272577921974988
54,1698,426,1.1781670773956208,-0.0007260560124313573,35.0,-0.03473470496767206
55,1732,461,1.0853123858238956,-0.0007551804498913822,37.5,-0.02404882916182194
56,1767,501,1.1300694190719769,0.0019423426413585389,39.0,0.0663567304392112
57,1801,539,1.218025846702318,0.003912698680560225,40.0,0.1265455516007239
58,1833,581,1.3831605222734247,0.0035086580423236355,43.5,0.11214871951857308
59,1864,626,1.4423232857394641,0.0025900907202687645,44.0,0.07832714627069493
60,1894,669,1.5398148148148145,0.018883369953130273,41.0,0.42542926622117694
61,1918,708,2.293181818181818,0.01099305704802156,48.0,0.31663711583924314
62,1938,765,2.173089046493301,-0.010512589541814447,45.5,-0.2841237508571606
