,x,y,gradient,smoothness,gradientEven,smoothnessEven
0,138.0,1876.0,-1.375,-0.010416666666666786,-55.0,-0.4166666666666714
1,178.0,1821.0,-1.7916666666666714,-0.01625000000000003,-47.5,-0.40000000000000213
2,198.0,1781.0,-2.1750000000000043,-0.010208333333333292,-43.5,-0.20416666666666572
3,218.0,1734.0,-2.200000000000003,-0.01709644522144469,-44.0,-0.3419289044288938
4,238.0,1693.0,-2.858857808857792,0.904902597402596,-42.5,9.514835164835155
7,284.0,1558.0,-2.0227411477411508,-0.1481407481407484,-53.5,-6.320134032634044
8,308.0,1497.0,-3.562179487179492,-0.0204338426924347,-62.0,-0.7180850768616676
9,323.0,1434.0,-3.458911301464486,0.029249707903510266,-58.5,0.8070235213561734
10,346.5,1380.0,-1.948132444467145,0.031079395332731005,-47.0,0.692200748771457
11,372.0,1340.0,-2.074509803921572,-0.015961628706551448,-40.5,-0.26122789541348634
12,389.0,1299.0,-2.4705882352941178,-0.015051903114186721,-64.5,-0.17352941176470438
13,423.0,1211.0,-2.4215686274509807,0.011381935538509969,-65.0,0.1743092691622108
14,441.0,1169.0,-2.121969696969696,0.006077745783628186,-41.5,0.07459207459207562
15,463.0,1128.0,-2.2723844782668294,-0.010533099157666787,-42.5,-0.1890151515151537
16,480.0,1084.0,-2.5000000000000036,-0.0005827944183593309,-42.5,-0.009907505112108694
17,497.0,1043.0,-2.292199488491047,-0.05646158322222924,-45.0,-1.6140679660169805
20,544.0,908.0,-2.108722976370034,0.08430848835260608,-44.5,-0.3920751633986921
23,609.0,770.0,-2.241169590643274,0.0811206690561526,-52.75,2.1203808243727513
24,631.5,715.5,-2.0680555555555546,0.009114401791056305,-48.5,0.2232910659487004
25,657.0,673.0,-1.7945874587458732,0.00217655257618328,-45.25,0.059189895381734026
26,682.0,625.0,-1.9496757647920866,-0.0005055697607374773,-50.25,-0.004215069305673502
27,708.5,572.5,-1.8030175973572202,0.00815176431991414,-48.5,0.22276451716478363
28,736.0,528.0,-1.5041467304625193,0.006055938535816218,-42.0,0.1646666934154517
29,764.5,488.5,-1.4736842105263168,0.0016254344516958286,-42.0,0.04632488187333106
30,793.0,444.0,-1.4114969667158572,0.0069260618172802164,-38.25,0.16968752249982066
31,818.0,412.0,-1.1343091655266755,0.008896564302067858,-35.0,0.24884878546048128
32,861.0,374.0,-0.9137993957948947,0.0022833159270209784,-33.5,0.11385709172391145
33,892.0,345.0,-0.9065949820788526,0.00121444821690568,-36.0,0.07356211286343362
34,942.0,302.0,-0.7666751700680274,0.0039132368207829,-37.75,0.1895635166804519
35,990.0,269.5,-0.5274679487179488,0.003855344801200594,-25.75,0.18806666098950453
36,1042.0,250.5,-0.3905418480890184,0.002797986884583361,-20.75,0.14862922834488446
37,1096.0,228.0,-0.23020949202817986,0.0035838847447187227,-11.75,0.21314775790680085
38,1158.0,227.0,0.03575366772458333,0.0016658357440696376,1.5,0.12042212720385415
39,1209.0,231.0,0.010634762379528429,-0.0007971616842495923,0.0,-0.04647210864400697
40,1268.0,227.0,-0.057190549563430615,0.0024839118609815895,-3.0,0.0650332886289906
41,1308.0,225.0,0.14070133963750964,0.004701393672365485,9.75,0.2169203890777034
42,1362.0,246.5,0.37665022859197617,0.0027612195402378645,19.5,0.1498715584480277
43,1411.0,264.0,0.440444456533565,0.0023829846315697734,22.5,0.12368318989981608
44,1463.0,291.5,0.6240166083916083,0.0036170315810192966,29.25,0.17297654684443486
45,1507.0,322.5,0.7863975502224347,0.0034829022264218157,37.0,0.1608581150991868
46,1556.0,365.5,0.9457328385899819,0.0032254471159919307,41.0,0.14215577766879894
47,1595.0,404.5,1.0707091055600326,0.0008425544047326039,38.75,0.041806021930760995
48,1629.0,443.0,1.029344882451504,0.003961549209969294,38.0,0.19266795391342484
49,1670.5,480.5,1.4560450133868823,0.008300860271223003,38.5,0.29465140630736153
50,1693.0,520.0,1.618647695066227,0.0032543666122971174,43.75,0.03457853676924216
51,1727.0,568.0,1.5252020869253666,0.000300262595153776,54.5,0.020208810124545007
52,1764.0,629.0,1.659065315315317,0.0060429450507872295,53.0,0.17240109603239606
53,1791.0,674.0,1.8700042789901588,0.012323988876777138,43.25,0.26690019039175183
54,1811.5,715.5,2.1928656960988206,0.017538953482753215,47.5,0.38084132869388654
55,1834.0,769.0,2.631686936377932,0.005952328198166032,50.75,0.18297891665647192
56,1851.0,817.0,2.5588235294117645,-0.021767016797094377,43.5,-0.3700392855506043
57,1868.0,856.0,1.8916083652767233,0.09909749656229946,38.25,6.895825326969545
60,1930.0,991.0,1.8363396004700352,-0.382273891538597,45.75,-7.263724914172475
61,1967.0,1028.5,1.3968468468468487,0.004160380356032542,33.0,-0.1120800566452731
62,1985.0,1057.0,1.612179487179489,-0.17390783484533504,35.75,-5.643375346500353
67,2057.0,1285.5,2.1432717365553184,-0.13850415586703235,40.0,-1.8648178232156631
68,2106.0,1317.0,1.7725011057054374,0.020881092452075617,36.75,0.11777761641446194
69,2125.0,1359.0,2.3788269693842423,0.1028719341556946,42.5,1.7172442002040036
76,2236.0,1657.0,2.047619047619044,-0.3433349808268095,43.0,-7.210034597363
77,2257.0,1695.0,2.213471177944868,0.04681743356749854,43.5,0.8622158845389372
78,2276.0,1744.0,3.772050816696918,0.04322098349321554,46.5,0.893264411027566
79,2286.0,1788.0,4.0,-0.02985254083484598,40.0,-0.29852540834845964
80,2296.0,1824.0,3.174999999999999,-0.07250000000000006,46.5,-1.05
81,2326.0,1881.0,1.9,-0.04249999999999997,57.0,-1.274999999999999
