,x,y,w,h,type
0,13,95.70617832461696,50,50,Tooth.GAP
1,55,87.15052120921193,50,50,Tooth.GAP
2,122,93.56338659074257,50,50,Tooth.TOOTH
3,170,96.08427340521925,50,50,Tooth.TOOTH
4,225,94.59355955512598,50,50,Tooth.GAP
5,267,99.75038117305031,50,50,Tooth.TOOTH
6,316,101.4941805053927,50,50,Tooth.TOOTH
7,362,103.1349544572918,50,50,Tooth.TOOTH
8,411,103.60216711178079,50,50,Tooth.TOOTH
9,458,114.69530807266686,50,50,Tooth.TOOTH
10,507,103.72975119605836,50,50,Tooth.TOOTH
11,544,102.49885020613159,50,50,Tooth.GAP
12,598,106.78364892743505,50,50,Tooth.TOOTH
13,638,108.56200478751431,50,50,Tooth.TOOTH
14,690,120.69468284357497,50,50,Tooth.TOOTH
15,735,121.19083153044943,50,50,Tooth.TOOTH
16,786,97.68415972828443,50,50,Tooth.TOOTH
17,837,108.41220977972688,50,50,Tooth.TOOTH
18,883,92.50552874830096,50,50,Tooth.TOOTH
19,925,104.91321754698754,50,50,Tooth.TOOTH
20,972,106.16866328154883,50,50,Tooth.TOOTH
21,1011,93.50051785955036,50,50,Tooth.TOOTH
22,1054,99.565867655734,50,50,Tooth.TOOTH
23,1111,101.30400968512416,50,50,Tooth.TOOTH
24,1159,99.77930806740233,50,50,Tooth.TOOTH
25,1210,88.86203381460663,50,50,Tooth.TOOTH
26,1269,85.19855451577368,50,50,Tooth.TOOTH
27,1311,80.91008292028094,50,50,Tooth.TOOTH
28,1364,92.61320835762977,50,50,Tooth.TOOTH
29,1417,90.32199229808596,50,50,Tooth.TOOTH
30,1475,88.05745573093107,50,50,Tooth.TOOTH
31,1517,84.27323377680112,50,50,Tooth.TOOTH
32,1571,87.46959901407408,50,50,Tooth.TOOTH
33,1632,81.10448772166379,50,50,Tooth.GAP
34,1676,88.76932742843948,50,50,Tooth.TOOTH
35,1737,83.55602222442104,50,50,Tooth.TOOTH
36,1778,90.41592033123763,50,50,Tooth.TOOTH
37,1818,93.47555483537153,50,50,Tooth.TOOTH
38,1884,92.12226939248995,50,50,Tooth.TOOTH
39,1931,102.16333262919528,50,50,Tooth.TOOTH
40,1989,111.54921206656408,50,50,Tooth.TOOTH
41,2049,120.13404389653168,50,50,Tooth.TOOTH
42,2113,139.8991176589327,50,50,Tooth.CENTER_T
43,2190,44.49818537858251,50,50,Tooth.GAP
44,2235,51.56539936887452,50,50,Tooth.TOOTH
45,2287,64.48856408325823,50,50,Tooth.TOOTH
46,2344,77.46350461598416,50,50,Tooth.TOOTH
47,2400,83.8752211815198,50,50,Tooth.TOOTH
48,2457,91.71750083556469,50,50,Tooth.TOOTH
49,2512,97.01420008828633,50,50,Tooth.TOOTH
50,2569,105.08601078565982,50,50,Tooth.GAP
51,2626,101.39060033633318,50,50,Tooth.TOOTH
52,2684,108.48930676319105,50,50,Tooth.TOOTH
53,2727,115.14221470652251,50,50,Tooth.GAP
54,2783,111.0965657534038,50,50,Tooth.TOOTH
55,2841,120.28933346962134,50,50,Tooth.TOOTH
56,2887,111.9774357801617,50,50,Tooth.TOOTH
57,2944,109.43509805555597,50,50,Tooth.TOOTH
58,3006,107.10875522489563,50,50,Tooth.TOOTH
59,3055,106.38306296210791,50,50,Tooth.TOOTH
60,3092,103.82704923608321,50,50,Tooth.TOOTH
61,3148,104.56576716534596,50,50,Tooth.TOOTH
62,3185,104.38209676724819,50,50,Tooth.TOOTH
63,3249,106.49218140615244,50,50,Tooth.TOOTH
64,3295,102.90916709057863,50,50,Tooth.TOOTH
65,3339,92.54578223413131,50,50,Tooth.TOOTH
66,3412,97.28983702172206,50,50,Tooth.TOOTH
67,3377,105.76791940590611,50,50,Tooth.TOOTH
68,3459,93.12443111767118,50,50,Tooth.TOOTH
69,3508,97.5755385970318,50,50,Tooth.TOOTH
70,3556,97.15312742099047,50,50,Tooth.TOOTH
71,3603,91.86767094898146,50,50,Tooth.TOOTH
72,3648,94.55320842487478,50,50,Tooth.TOOTH
73,3697,92.73532628609136,50,50,Tooth.TOOTH
74,3739,97.08154796468573,50,50,Tooth.TOOTH
75,3788,96.3717140685141,50,50,Tooth.TOOTH
76,3832,96.05883929514259,50,50,Tooth.TOOTH
77,3879,104.56961727425444,50,50,Tooth.TOOTH
78,3931,99.86622586111929,50,50,Tooth.TOOTH
79,3973,96.38795766307904,50,50,Tooth.TOOTH
80,4020,93.0693442742073,50,50,Tooth.TOOTH
81,4068,95.4418550176759,50,50,Tooth.TOOTH
82,4111,97.1124606294107,50,50,Tooth.TOOTH
83,4161,98.09778732464515,50,50,Tooth.TOOTH
84,4215,103.77064252605253,50,50,Tooth.TOOTH
85,4258,97.56701587278116,50,50,Tooth.TOOTH
86,4309,103.07583587343684,50,50,Tooth.TOOTH
87,4362,102.23300335031809,50,50,Tooth.TOOTH
88,4405,113.54685084929999,50,50,Tooth.TOOTH
