,Unnamed: 0,x,y,w,h,type
0,0,92,1911,30,30,Tooth.GAP
1,1,114,1848,49,43,Tooth.TOOTH
2,2,145,1817,30,30,Tooth.GAP
3,3,146,1755,49,43,Tooth.TOOTH
4,4,164,1709,49,43,Tooth.TOOTH
5,5,181,1663,53,48,Tooth.TOOTH
6,6,197,1618,49,43,Tooth.TOOTH
7,7,214,1576,49,43,Tooth.TOOTH
8,8,231,1529,49,43,Tooth.TOOTH
9,9,250,1495,30,30,Tooth.GAP
10,10,261,1440,49,43,Tooth.TOOTH
11,11,280,1396,49,43,Tooth.TOOTH
12,12,299,1357,68,44,Tooth.TOOTH
13,13,312,1303,53,48,Tooth.TOOTH
14,14,334,1270,30,30,Tooth.TOOTH
15,15,342,1222,53,48,Tooth.TOOTH
16,16,368,1195,30,30,Tooth.GAP
17,17,375,1137,49,43,Tooth.TOOTH
18,18,397,1104,30,30,Tooth.GAP
19,19,409,1045,49,43,Tooth.TOOTH
20,20,428,1011,30,30,Tooth.TOOTH
21,21,442,961,49,43,Tooth.TOOTH
22,22,470,917,30,30,Tooth.GAP
23,23,479,874,49,43,Tooth.TOOTH
24,24,498,831,49,43,Tooth.TOOTH
25,25,514,782,49,43,Tooth.TOOTH
26,26,535,739,49,43,Tooth.TOOTH
27,27,560,687,53,48,Tooth.TOOTH
28,28,579,641,49,43,Tooth.TOOTH
29,29,600,594,49,43,Tooth.TOOTH
30,30,626,543,49,43,Tooth.TOOTH
31,31,649,499,49,43,Tooth.TOOTH
32,32,674,458,49,43,Tooth.TOOTH
33,33,702,414,49,43,Tooth.TOOTH
34,34,730,371,48,40,Tooth.TOOTH
35,35,766,331,49,43,Tooth.TOOTH
36,36,817,306,30,30,Tooth.GAP
37,37,844,261,36,35,Tooth.TOOTH
38,38,881,214,38,64,Tooth.TOOTH
39,39,916,188,48,40,Tooth.TOOTH
40,40,977,160,38,60,Tooth.TOOTH
41,41,1036,155,30,30,Tooth.GAP
42,42,1080,132,38,60,Tooth.TOOTH
43,43,1124,130,48,40,Tooth.TOOTH
44,44,1192,128,38,60,Tooth.CENTER_T
45,45,1267,149,30,30,Tooth.GAP
46,46,1289,143,38,60,Tooth.TOOTH
47,47,1335,165,48,40,Tooth.TOOTH
48,48,1391,193,36,35,Tooth.TOOTH
49,49,1435,223,36,35,Tooth.TOOTH
50,50,1463,250,30,30,Tooth.GAP
51,51,1484,267,36,35,Tooth.TOOTH
52,52,1515,299,48,40,Tooth.TOOTH
53,53,1561,338,36,35,Tooth.TOOTH
54,54,1600,370,49,43,Tooth.TOOTH
55,55,1622,414,48,40,Tooth.TOOTH
56,56,1656,455,48,40,Tooth.TOOTH
57,57,1684,498,48,40,Tooth.TOOTH
58,58,1716,546,48,40,Tooth.TOOTH
59,59,1742,595,48,40,Tooth.TOOTH
60,60,1769,639,48,40,Tooth.TOOTH
61,61,1796,684,48,40,Tooth.TOOTH
62,62,1832,736,30,30,Tooth.TOOTH
63,63,1840,765,48,40,Tooth.TOOTH
64,64,1859,808,48,40,Tooth.TOOTH
65,65,1903,896,48,40,Tooth.TOOTH
66,66,1903,860,30,30,Tooth.GAP
67,67,1931,929,30,30,Tooth.GAP
68,68,1939,958,48,40,Tooth.TOOTH
69,69,1972,1021,30,30,Tooth.GAP
70,70,1981,1045,48,40,Tooth.TOOTH
71,71,2006,1085,30,30,Tooth.GAP
72,72,2022,1131,48,40,Tooth.TOOTH
73,73,2042,1175,48,40,Tooth.TOOTH
74,74,2064,1218,48,40,Tooth.TOOTH
75,75,2084,1258,48,40,Tooth.TOOTH
76,76,2102,1297,48,40,Tooth.TOOTH
77,77,2126,1339,48,40,Tooth.TOOTH
78,78,2149,1378,30,30,Tooth.GAP
79,79,2167,1424,49,43,Tooth.TOOTH
80,80,2184,1466,48,40,Tooth.TOOTH
81,81,2200,1511,48,40,Tooth.TOOTH
82,82,2221,1554,48,40,Tooth.TOOTH
83,83,2241,1596,48,40,Tooth.TOOTH
84,84,2260,1638,48,40,Tooth.TOOTH
85,85,2281,1679,48,40,Tooth.TOOTH
86,86,2302,1725,49,43,Tooth.TOOTH
87,87,2328,1766,38,60,Tooth.TOOTH
88,88,2353,1820,30,30,Tooth.GAP
89,89,2362,1863,48,40,Tooth.TOOTH
90,90,2396,1918,30,30,Tooth.TOOTH
