,x,y,w,h,type
0,61,72,61,46,Tooth.TOOTH
1,167,72,41,53,Tooth.TOOTH
2,213,74,41,53,Tooth.TOOTH
3,258,75,61,46,Tooth.TOOTH
4,401,76,61,46,Tooth.TOOTH
5,498,77,61,46,Tooth.TOOTH
6,628,116,41,53,Tooth.TOOTH
7,666,89,61,46,Tooth.TOOTH
8,730,83,61,46,Tooth.TOOTH
9,831,75,41,53,Tooth.TOOTH
10,876,83,41,53,Tooth.TOOTH
11,1057,78,61,46,Tooth.TOOTH
12,1114,80,41,53,Tooth.TOOTH
13,1153,78,61,46,Tooth.TOOTH
14,1247,73,61,46,Tooth.TOOTH
15,1304,76,41,53,Tooth.TOOTH
16,1354,75,41,53,Tooth.TOOTH
17,1402,70,61,46,Tooth.TOOTH
18,1460,68,41,53,Tooth.TOOTH
19,1514,67,41,53,Tooth.TOOTH
20,1566,66,41,53,Tooth.TOOTH
21,1615,66,41,53,Tooth.TOOTH
22,1668,68,41,53,Tooth.TOOTH
23,1721,69,41,53,Tooth.TOOTH
24,1771,72,41,53,Tooth.TOOTH
25,1819,77,41,53,Tooth.TOOTH
26,1979,85,61,46,Tooth.TOOTH
27,2095,104,61,46,Tooth.TOOTH
28,2154,114,61,46,Tooth.TOOTH
29,2217,123,41,53,Tooth.TOOTH
30,2279,111,41,53,Tooth.TOOTH
31,2329,101,61,46,Tooth.TOOTH
32,2443,88,41,53,Tooth.TOOTH
33,2550,70,41,53,Tooth.TOOTH
34,2615,67,41,53,Tooth.TOOTH
35,2724,60,41,53,Tooth.TOOTH
36,2774,58,41,53,Tooth.TOOTH
37,2870,54,61,46,Tooth.TOOTH
38,2930,56,41,53,Tooth.TOOTH
39,2978,58,61,46,Tooth.TOOTH
40,3034,63,61,46,Tooth.TOOTH
41,3326,70,61,46,Tooth.TOOTH
42,3452,73,41,53,Tooth.TOOTH
43,3497,78,41,53,Tooth.TOOTH
44,3547,77,41,53,Tooth.TOOTH
45,3587,79,61,46,Tooth.TOOTH
46,3682,79,61,46,Tooth.TOOTH
47,3775,81,61,46,Tooth.TOOTH
48,3872,80,41,53,Tooth.TOOTH
49,3919,88,41,53,Tooth.TOOTH
50,3960,84,61,46,Tooth.TOOTH
51,4059,83,41,53,Tooth.TOOTH
52,4101,81,61,46,Tooth.TOOTH
53,4158,83,41,53,Tooth.TOOTH
54,4199,84,41,53,Tooth.TOOTH
55,4240,80,61,46,Tooth.TOOTH
56,4341,78,61,46,Tooth.TOOTH
