,Unnamed: 0,x,y,w,h,type
0,0,149,1815,30,30,Tooth.TOOTH
1,1,166,1765,30,30,Tooth.GAP
2,2,178,1706,49,43,Tooth.TOOTH
3,3,197,1664,49,43,Tooth.TOOTH
4,4,211,1625,49,43,Tooth.TOOTH
5,5,237,1593,30,30,Tooth.TOOTH
6,6,245,1564,30,30,Tooth.TOOTH
7,7,266,1486,48,40,Tooth.TOOTH
8,8,268,1536,30,30,Tooth.TOOTH
9,9,290,1447,49,43,Tooth.TOOTH
10,10,306,1431,30,30,Tooth.TOOTH
11,11,318,1380,48,40,Tooth.TOOTH
12,12,350,1356,30,30,Tooth.TOOTH
13,13,350,1309,48,40,Tooth.TOOTH
14,14,369,1272,48,40,Tooth.TOOTH
15,15,386,1234,48,40,Tooth.TOOTH
16,16,408,1195,49,43,Tooth.TOOTH
17,17,439,1127,48,40,Tooth.TOOTH
18,18,442,1168,30,30,Tooth.GAP
19,19,463,1082,48,40,Tooth.TOOTH
20,20,482,1052,30,30,Tooth.GAP
21,21,501,1005,48,40,Tooth.TOOTH
22,22,523,965,48,40,Tooth.TOOTH
23,23,546,920,48,40,Tooth.TOOTH
24,24,569,880,48,40,Tooth.TOOTH
25,25,600,847,30,30,Tooth.GAP
26,26,614,797,48,40,Tooth.TOOTH
27,27,639,753,48,40,Tooth.TOOTH
28,28,670,715,30,30,Tooth.TOOTH
29,29,689,663,48,40,Tooth.TOOTH
30,30,721,620,49,43,Tooth.TOOTH
31,31,743,578,48,40,Tooth.TOOTH
32,32,773,537,48,40,Tooth.TOOTH
33,33,806,491,48,40,Tooth.TOOTH
34,34,840,446,48,40,Tooth.TOOTH
35,35,875,405,49,43,Tooth.TOOTH
36,36,906,375,30,30,Tooth.GAP
37,37,937,336,48,40,Tooth.TOOTH
38,38,984,315,36,35,Tooth.TOOTH
39,39,1031,270,36,35,Tooth.TOOTH
40,40,1071,237,44,44,Tooth.TOOTH
41,41,1119,218,30,30,Tooth.GAP
42,42,1172,179,38,60,Tooth.TOOTH
43,43,1220,169,38,60,Tooth.TOOTH
44,91,1267,175,30,30,Tooth.TOOTH
45,44,1324,174,30,30,Tooth.CENTER_T
46,45,1359,159,38,64,Tooth.TOOTH
47,46,1406,169,38,60,Tooth.TOOTH
48,47,1457,176,38,60,Tooth.TOOTH
49,48,1498,209,30,30,Tooth.GAP
50,49,1553,229,49,43,Tooth.TOOTH
51,50,1613,276,36,35,Tooth.TOOTH
52,51,1663,311,36,35,Tooth.TOOTH
53,52,1708,355,30,30,Tooth.TOOTH
54,53,1728,382,44,44,Tooth.TOOTH
55,54,1760,418,49,43,Tooth.TOOTH
56,55,1796,453,38,60,Tooth.TOOTH
57,56,1832,506,36,35,Tooth.TOOTH
58,57,1857,547,64,44,Tooth.TOOTH
59,58,1879,590,49,43,Tooth.TOOTH
60,59,1905,631,49,43,Tooth.TOOTH
61,60,1929,677,49,43,Tooth.TOOTH
62,61,1962,716,64,44,Tooth.TOOTH
63,62,1981,757,64,44,Tooth.TOOTH
64,63,2005,812,30,30,Tooth.TOOTH
65,64,2013,840,44,44,Tooth.TOOTH
66,65,2037,879,38,60,Tooth.TOOTH
67,66,2060,927,38,60,Tooth.TOOTH
68,67,2085,985,30,30,Tooth.GAP
69,68,2095,1014,30,30,Tooth.TOOTH
70,69,2113,1053,49,43,Tooth.TOOTH
71,70,2130,1095,49,43,Tooth.TOOTH
72,71,2148,1135,49,43,Tooth.TOOTH
73,72,2182,1207,49,43,Tooth.TOOTH
74,73,2201,1258,30,30,Tooth.TOOTH
75,74,2227,1293,30,30,Tooth.TOOTH
76,75,2245,1339,30,30,Tooth.TOOTH
77,76,2256,1363,30,30,Tooth.TOOTH
78,77,2262,1392,64,44,Tooth.TOOTH
79,78,2296,1448,30,30,Tooth.GAP
80,79,2304,1479,30,30,Tooth.TOOTH
81,80,2320,1513,30,30,Tooth.TOOTH
82,81,2328,1538,30,30,Tooth.TOOTH
83,82,2335,1586,30,30,Tooth.TOOTH
84,83,2354,1613,30,30,Tooth.TOOTH
85,84,2369,1650,30,30,Tooth.TOOTH
86,85,2383,1694,30,30,Tooth.GAP
87,86,2390,1724,49,43,Tooth.TOOTH
88,87,2405,1777,30,30,Tooth.GAP
89,88,2418,1809,48,40,Tooth.TOOTH
90,89,2441,1854,30,30,Tooth.GAP
91,90,2456,1905,30,30,Tooth.TOOTH
