,x,y,w,h,type
0,86,1868,49,43,Tooth.TOOTH
1,95,1812,48,40,Tooth.TOOTH
2,116,1754,49,43,Tooth.TOOTH
91,132,1722,30,30,Tooth.GAP
3,144,1661,38,64,Tooth.TOOTH
4,162,1623,53,48,Tooth.TOOTH
5,185,1595,30,30,Tooth.TOOTH
6,190,1552,53,48,Tooth.TOOTH
7,214,1519,30,30,Tooth.TOOTH
8,230,1494,30,30,Tooth.TOOTH
9,245,1451,30,30,Tooth.TOOTH
10,252,1418,30,30,Tooth.TOOTH
11,262,1377,30,30,Tooth.GAP
12,284,1347,30,30,Tooth.TOOTH
13,299,1308,68,44,Tooth.TOOTH
14,328,1233,68,44,Tooth.TOOTH
15,329,1273,30,30,Tooth.TOOTH
16,352,1198,30,30,Tooth.TOOTH
17,367,1170,30,30,Tooth.TOOTH
18,372,1111,53,48,Tooth.TOOTH
19,390,1072,49,43,Tooth.TOOTH
20,404,1033,48,40,Tooth.TOOTH
21,423,993,48,40,Tooth.TOOTH
22,448,954,64,44,Tooth.TOOTH
23,470,912,64,44,Tooth.TOOTH
24,490,868,64,44,Tooth.TOOTH
25,514,829,68,44,Tooth.TOOTH
26,529,773,49,43,Tooth.TOOTH
27,558,750,30,30,Tooth.TOOTH
28,578,694,64,44,Tooth.TOOTH
29,608,657,30,30,Tooth.GAP
30,627,607,64,44,Tooth.TOOTH
31,644,562,48,40,Tooth.TOOTH
32,680,521,64,44,Tooth.TOOTH
33,713,467,38,60,Tooth.TOOTH
34,741,435,64,44,Tooth.TOOTH
35,767,378,46,53,Tooth.TOOTH
36,808,360,68,44,Tooth.TOOTH
37,845,325,30,30,Tooth.GAP
38,860,280,48,40,Tooth.TOOTH
39,916,228,46,53,Tooth.TOOTH
40,959,200,46,53,Tooth.TOOTH
41,1011,180,38,60,Tooth.TOOTH
42,1071,167,30,30,Tooth.GAP
43,1105,141,38,60,Tooth.TOOTH
44,1156,141,30,30,Tooth.TOOTH
45,1196,124,38,60,Tooth.CENTER_T
46,1242,127,38,60,Tooth.TOOTH
47,1288,130,38,60,Tooth.TOOTH
48,1341,159,30,30,Tooth.GAP
49,1381,166,38,60,Tooth.TOOTH
50,1425,183,38,64,Tooth.TOOTH
51,1479,210,38,64,Tooth.TOOTH
52,1539,249,38,64,Tooth.TOOTH
53,1586,289,30,30,Tooth.TOOTH
90,1625,325,30,30,Tooth.TOOTH
54,1656,345,53,48,Tooth.TOOTH
55,1699,393,30,30,Tooth.GAP
56,1723,424,53,48,Tooth.TOOTH
57,1754,464,53,48,Tooth.TOOTH
89,1793,519,30,30,Tooth.TOOTH
58,1817,546,53,48,Tooth.TOOTH
59,1834,589,38,64,Tooth.TOOTH
60,1865,639,30,30,Tooth.TOOTH
61,1884,669,38,64,Tooth.TOOTH
62,1911,711,30,30,Tooth.TOOTH
63,1932,743,38,64,Tooth.TOOTH
88,1967,800,30,30,Tooth.TOOTH
64,1987,838,30,30,Tooth.GAP
87,2011,874,30,30,Tooth.TOOTH
65,2032,908,38,64,Tooth.TOOTH
66,2056,958,30,30,Tooth.TOOTH
86,2083,1001,30,30,Tooth.TOOTH
67,2104,1036,30,30,Tooth.GAP
68,2117,1060,48,40,Tooth.TOOTH
69,2147,1104,30,30,Tooth.TOOTH
70,2156,1132,48,40,Tooth.TOOTH
71,2184,1165,49,43,Tooth.TOOTH
72,2208,1207,30,30,Tooth.TOOTH
73,2212,1239,48,40,Tooth.TOOTH
74,2231,1274,30,30,Tooth.GAP
75,2248,1308,49,43,Tooth.TOOTH
76,2275,1354,30,30,Tooth.TOOTH
77,2293,1399,30,30,Tooth.TOOTH
78,2298,1416,48,40,Tooth.TOOTH
79,2329,1451,30,30,Tooth.TOOTH
80,2333,1486,48,40,Tooth.TOOTH
92,2358,1530,30,30,Tooth.GAP
81,2365,1562,48,40,Tooth.TOOTH
82,2387,1606,30,30,Tooth.TOOTH
83,2407,1638,49,43,Tooth.TOOTH
84,2425,1682,49,43,Tooth.TOOTH
85,2448,1734,49,43,Tooth.TOOTH
