,x,y,w,h,type
0,274,112.03642623641967,30,30,Tooth.TOOTH
1,320,98.6249221665522,30,30,Tooth.TOOTH
2,368,97.6688145280863,30,30,Tooth.TOOTH
3,414,96.04057971593684,30,30,Tooth.GAP
4,450,96.8764003981085,30,30,Tooth.TOOTH
5,489,101.37188881390833,30,30,Tooth.TOOTH
6,527,95.39499882930672,30,30,Tooth.TOOTH
7,565,93.35710698153405,30,30,Tooth.TOOTH
8,604,94.33670041197273,30,30,Tooth.TOOTH
9,641,93.78459501010363,30,30,Tooth.TOOTH
10,682,105.73438856253972,30,30,Tooth.TOOTH
11,725,101.02274197410244,30,30,Tooth.TOOTH
12,763,104.07640459161982,30,30,Tooth.TOOTH
13,804,98.9691824137899,30,30,Tooth.TOOTH
14,845,105.75566484203428,30,30,Tooth.TOOTH
15,883,100.25491610949226,30,30,Tooth.TOOTH
16,926,102.62511862772477,30,30,Tooth.TOOTH
17,968,99.39735856156702,30,30,Tooth.TOOTH
18,1010,95.92811551582726,30,30,Tooth.TOOTH
19,1057,106.4254067857391,30,30,Tooth.TOOTH
20,1098,94.8073448618443,30,30,Tooth.TOOTH
21,1145,105.99527907490514,30,30,Tooth.TOOTH
22,1189,101.24886720574591,30,30,Tooth.GAP
23,1243,105.49280689739044,30,30,Tooth.TOOTH
24,1292,109.05559757340973,30,30,Tooth.TOOTH
25,1342,103.88100662157788,30,30,Tooth.TOOTH
26,1388,102.0793787706343,30,30,Tooth.TOOTH
27,1439,103.2156446040847,30,30,Tooth.TOOTH
28,1489,104.13941230894,30,30,Tooth.TOOTH
29,1538,99.54939003971424,30,30,Tooth.TOOTH
30,1577,96.00782270374631,30,30,Tooth.GAP
31,1611,96.20448560045453,30,30,Tooth.ERROR_G
32,1641,96.67801034552554,30,30,Tooth.ERROR_T
33,1694,91.9324135280246,30,30,Tooth.TOOTH
34,1751,91.97975375178065,30,30,Tooth.GAP
35,1792,86.93429668412365,30,30,Tooth.TOOTH
36,1843,88.2320335212095,30,30,Tooth.TOOTH
37,1890,91.1537120733572,30,30,Tooth.TOOTH
38,1937,94.9795134962592,30,30,Tooth.TOOTH
39,1993,92.87345230296364,30,30,Tooth.ERROR_G
40,2056,96.87052808082805,30,30,Tooth.ERROR_T
41,2107,100.05923682178144,30,30,Tooth.TOOTH
42,2158,101.76298989084844,30,30,Tooth.TOOTH
43,2209,105.65182941812097,30,30,Tooth.TOOTH
44,2253,114.13399415152642,30,30,Tooth.GAP
45,2306,116.61264896282468,30,30,Tooth.CENTER_T
46,2351,117.39687666996619,30,30,Tooth.GAP
47,2402,113.35888021319397,30,30,Tooth.TOOTH
48,2450,109.92321384405128,30,30,Tooth.TOOTH
49,2505,108.18098091939724,30,30,Tooth.TOOTH
50,2560,108.94545823671851,30,30,Tooth.ERROR_T
51,2635,90.5792278494295,30,30,Tooth.ERROR_T
52,2696,103.24463280944806,30,30,Tooth.ERROR_T
53,2742,104.42424847716526,30,30,Tooth.TOOTH
54,2792,104.88461983515676,30,30,Tooth.TOOTH
55,2844,100.44199918644885,30,30,Tooth.TOOTH
56,2893,89.58528211425964,30,30,Tooth.TOOTH
57,2947,92.12271443105968,30,30,Tooth.TOOTH
58,2999,86.43585750305695,30,30,Tooth.TOOTH
59,3050,90.36085129558917,30,30,Tooth.TOOTH
60,3102,99.04848541602527,30,30,Tooth.TOOTH
61,3150,93.87456231173482,30,30,Tooth.TOOTH
62,3196,92.76176728804268,30,30,Tooth.GAP
63,3240,100.30902418284488,30,30,Tooth.TOOTH
64,3285,98.3919012389337,30,30,Tooth.TOOTH
65,3331,98.68985421044997,30,30,Tooth.TOOTH
66,3383,104.53041520899978,30,30,Tooth.TOOTH
67,3431,98.06098779811732,30,30,Tooth.TOOTH
68,3479,99.20421948191613,30,30,Tooth.TOOTH
69,3523,102.60830490027219,30,30,Tooth.TOOTH
70,3570,104.77138386137165,30,30,Tooth.TOOTH
71,3611,104.86616397252155,30,30,Tooth.TOOTH
72,3662,103.64064376681962,30,30,Tooth.TOOTH
73,3696,104.25613256058416,30,30,Tooth.TOOTH
74,3736,105.43255971361843,30,30,Tooth.TOOTH
75,3778,102.7664071716186,30,30,Tooth.TOOTH
76,3820,98.56504358874366,30,30,Tooth.TOOTH
77,3859,98.73224121413656,30,30,Tooth.TOOTH
78,3897,101.47408018796526,30,30,Tooth.TOOTH
79,3938,101.71569343400483,30,30,Tooth.TOOTH
80,3977,104.5488273117606,30,30,Tooth.TOOTH
81,4017,100.0138085593185,30,30,Tooth.TOOTH
82,4061,99.12470160394017,30,30,Tooth.TOOTH
83,4094,100.11780733604812,30,30,Tooth.TOOTH
84,4136,98.17108448659116,30,30,Tooth.GAP
85,4171,98.79750938948588,30,30,Tooth.TOOTH
86,4215,98.27617174409204,30,30,Tooth.TOOTH
87,4257,99.09209460971798,30,30,Tooth.TOOTH
88,4297,98.10934058723407,30,30,Tooth.TOOTH
89,4343,98.30850437338742,30,30,Tooth.TOOTH
90,4389,99.29690149952408,30,30,Tooth.TOOTH
91,4442,99.91132274868451,30,30,Tooth.TOOTH
