,x,y,w,h,type
0,75,82.83202264254977,50,50,Tooth.TOOTH
1,134,91.72811359195644,50,50,Tooth.GAP
2,191,124.23758404646864,50,50,Tooth.TOOTH
3,236,96.45692667516792,50,50,Tooth.TOOTH
4,302,103.425977639863,50,50,Tooth.TOOTH
5,258,96.17579260352049,50,50,Tooth.TOOTH
6,342,90.82525843374833,50,50,Tooth.TOOTH
7,391,105.71393527878061,50,50,Tooth.TOOTH
8,439,100.60377873430386,50,50,Tooth.TOOTH
9,490,104.72596724128333,50,50,Tooth.TOOTH
10,532,104.9494610465196,50,50,Tooth.TOOTH
11,579,109.71677944954786,50,50,Tooth.TOOTH
12,622,102.33422615435342,50,50,Tooth.GAP
13,678,110.74646915110633,50,50,Tooth.TOOTH
14,722,110.67316173960451,50,50,Tooth.TOOTH
15,770,111.02882144835795,50,50,Tooth.TOOTH
16,820,110.11972654273484,50,50,Tooth.TOOTH
17,880,93.80507405456149,50,50,Tooth.TOOTH
18,925,97.01967420480378,50,50,Tooth.TOOTH
19,977,91.72736386337846,50,50,Tooth.TOOTH
20,1026,90.50052663923228,50,50,Tooth.GAP
21,1085,87.64115318267527,50,50,Tooth.TOOTH
22,1136,85.70596878237346,50,50,Tooth.TOOTH
23,1174,87.99130263217485,50,50,Tooth.GAP
24,1238,85.73043638220012,50,50,Tooth.TOOTH
25,1291,84.32721305353908,50,50,Tooth.TOOTH
26,1337,80.72972646656412,50,50,Tooth.GAP
27,1385,87.80170614114877,50,50,Tooth.TOOTH
28,1441,88.9686734168088,50,50,Tooth.TOOTH
29,1492,97.44732768764901,50,50,Tooth.TOOTH
30,1547,98.2320153927249,50,50,Tooth.TOOTH
31,1606,108.58278546248317,50,50,Tooth.GAP
32,1669,115.07242235041606,50,50,Tooth.TOOTH
33,1727,135.98925526174605,50,50,Tooth.GAP
34,1785,135.8618620918602,50,50,Tooth.TOOTH
35,1844,125.42091368943417,50,50,Tooth.CENTER_G
36,1890,120.3665796261505,50,50,Tooth.TOOTH
37,1953,107.81989362369399,50,50,Tooth.TOOTH
38,2001,104.05115992577383,50,50,Tooth.TOOTH
39,2057,99.31813793483397,50,50,Tooth.TOOTH
40,2109,95.88069092110365,50,50,Tooth.TOOTH
41,2170,93.32062776960399,50,50,Tooth.TOOTH
42,2224,92.91303622878854,50,50,Tooth.GAP
43,2277,90.30361847599117,50,50,Tooth.TOOTH
44,2331,84.13966219766432,50,50,Tooth.TOOTH
45,2381,87.76198959761064,50,50,Tooth.GAP
46,2437,85.82532796939674,50,50,Tooth.TOOTH
47,2491,88.96505376975331,50,50,Tooth.TOOTH
48,2544,93.25067865546553,50,50,Tooth.GAP
49,2602,97.66311219044255,50,50,Tooth.TOOTH
50,2652,90.22826943479261,50,50,Tooth.TOOTH
51,2704,110.54208387751588,50,50,Tooth.TOOTH
52,2752,106.48573946761726,50,50,Tooth.TOOTH
53,2804,88.31297662061158,50,50,Tooth.TOOTH
54,2844,117.88926505150604,50,50,Tooth.TOOTH
55,2898,113.98278410867262,50,50,Tooth.TOOTH
56,2930,105.52808124869482,50,50,Tooth.GAP
57,2985,102.49684822525491,50,50,Tooth.TOOTH
58,3017,110.50835998150107,50,50,Tooth.GAP
59,3052,105.96428576791051,50,50,Tooth.TOOTH
60,3103,103.83705376558395,50,50,Tooth.GAP
61,3159,100.02807410483791,50,50,Tooth.TOOTH
62,3203,104.14100175695889,50,50,Tooth.TOOTH
63,3251,100.38232547129601,50,50,Tooth.TOOTH
64,3300,98.99114994140629,50,50,Tooth.TOOTH
65,3355,90.07574866631653,50,50,Tooth.TOOTH
66,3393,106.55351244319586,50,50,Tooth.TOOTH
67,3445,84.57030070769937,50,50,Tooth.TOOTH
68,3482,111.8818842083361,50,50,Tooth.TOOTH
69,3516,103.77122836913908,50,50,Tooth.GAP
70,3578,102.64690414277513,50,50,Tooth.TOOTH
71,3626,104.42576859722796,50,50,Tooth.TOOTH
72,3658,96.82883595617918,50,50,Tooth.TOOTH
73,3723,83.99362493024992,50,50,Tooth.TOOTH
