,Unnamed: 0,x,y,w,h,type
0,0,210,1836,38,60,Tooth.TOOTH
1,73,236,1796,30,30,Tooth.GAP
2,1,264,1741,64,44,Tooth.TOOTH
3,72,265,1697,30,30,Tooth.TOOTH
4,2,269,1628,68,44,Tooth.TOOTH
5,71,270,1676,30,30,Tooth.TOOTH
6,70,286,1593,30,30,Tooth.TOOTH
7,3,294,1543,68,44,Tooth.TOOTH
8,4,302,1495,68,44,Tooth.TOOTH
9,5,322,1447,64,44,Tooth.TOOTH
10,6,332,1407,68,44,Tooth.TOOTH
11,7,350,1364,68,44,Tooth.TOOTH
12,69,375,1327,30,30,Tooth.GAP
13,8,383,1270,64,44,Tooth.TOOTH
14,9,395,1228,68,44,Tooth.TOOTH
15,10,411,1183,68,44,Tooth.TOOTH
16,11,427,1136,68,44,Tooth.TOOTH
17,68,452,1081,30,30,Tooth.TOOTH
18,12,462,1034,49,43,Tooth.TOOTH
19,13,477,984,49,43,Tooth.TOOTH
20,67,505,945,30,30,Tooth.GAP
21,14,518,883,49,43,Tooth.TOOTH
22,15,539,836,49,43,Tooth.TOOTH
23,66,568,810,30,30,Tooth.GAP
24,16,588,746,49,43,Tooth.TOOTH
25,17,615,699,49,43,Tooth.TOOTH
26,65,647,665,30,30,Tooth.GAP
27,18,672,625,48,40,Tooth.TOOTH
28,19,709,581,48,40,Tooth.TOOTH
29,20,755,539,38,60,Tooth.TOOTH
30,21,796,502,38,60,Tooth.TOOTH
31,64,853,490,30,30,Tooth.GAP
32,63,909,466,30,30,Tooth.TOOTH
33,62,967,467,30,30,Tooth.GAP
34,22,1013,443,38,60,Tooth.TOOTH
35,61,1071,448,30,30,Tooth.CENTER_G
36,23,1110,435,38,60,Tooth.TOOTH
37,24,1173,454,36,35,Tooth.TOOTH
38,25,1217,470,36,35,Tooth.TOOTH
39,26,1268,494,36,35,Tooth.TOOTH
40,27,1313,521,36,35,Tooth.TOOTH
41,28,1357,548,46,53,Tooth.TOOTH
42,60,1406,596,30,30,Tooth.GAP
43,29,1437,627,48,40,Tooth.TOOTH
44,30,1478,661,49,43,Tooth.TOOTH
45,59,1518,708,30,30,Tooth.GAP
46,31,1551,735,38,60,Tooth.TOOTH
47,32,1582,780,38,60,Tooth.TOOTH
48,58,1614,840,30,30,Tooth.GAP
49,33,1640,875,38,60,Tooth.TOOTH
50,34,1669,921,49,43,Tooth.TOOTH
51,35,1686,967,38,60,Tooth.TOOTH
52,57,1719,1020,30,30,Tooth.TOOTH
53,36,1745,1048,64,44,Tooth.TOOTH
54,37,1753,1089,38,60,Tooth.TOOTH
55,56,1788,1149,30,30,Tooth.TOOTH
56,55,1811,1172,30,30,Tooth.GAP
57,38,1837,1204,38,60,Tooth.TOOTH
58,54,1849,1250,30,30,Tooth.GAP
59,52,1870,1279,30,30,Tooth.TOOTH
60,53,1896,1323,30,30,Tooth.GAP
61,39,1914,1362,53,48,Tooth.TOOTH
62,51,1942,1412,30,30,Tooth.TOOTH
63,50,1967,1453,30,30,Tooth.TOOTH
64,49,1990,1496,30,30,Tooth.TOOTH
65,40,2005,1534,64,44,Tooth.TOOTH
66,48,2024,1583,30,30,Tooth.TOOTH
67,41,2049,1613,64,44,Tooth.TOOTH
68,46,2057,1665,30,30,Tooth.TOOTH
69,47,2079,1693,30,30,Tooth.GAP
70,42,2102,1732,38,64,Tooth.TOOTH
71,45,2124,1793,30,30,Tooth.TOOTH
72,44,2144,1819,30,30,Tooth.TOOTH
73,43,2178,1858,38,60,Tooth.TOOTH
