,Unnamed: 0,x,y,w,h,type
0,0,210,1836,38,60,Tooth.TOOTH
1,58,232,1799,30,30,Tooth.GAP
2,1,261,1669,68,44,Tooth.TOOTH
3,2,264,1741,64,44,Tooth.TOOTH
4,3,269,1628,68,44,Tooth.TOOTH
5,44,270,1712,30,30,Tooth.TOOTH
6,4,294,1543,68,44,Tooth.TOOTH
7,5,302,1495,68,44,Tooth.TOOTH
8,6,322,1447,64,44,Tooth.TOOTH
9,7,332,1407,68,44,Tooth.TOOTH
10,8,350,1364,68,44,Tooth.TOOTH
11,59,376,1339,30,30,Tooth.GAP
12,9,383,1270,64,44,Tooth.TOOTH
13,10,395,1228,68,44,Tooth.TOOTH
14,11,411,1183,68,44,Tooth.TOOTH
15,12,427,1136,68,44,Tooth.TOOTH
16,45,454,1089,30,30,Tooth.TOOTH
17,13,462,1034,49,43,Tooth.TOOTH
18,14,477,984,49,43,Tooth.TOOTH
19,60,509,940,30,30,Tooth.GAP
20,15,518,883,49,43,Tooth.TOOTH
21,16,539,836,49,43,Tooth.TOOTH
22,61,570,797,30,30,Tooth.GAP
23,17,588,746,49,43,Tooth.TOOTH
24,18,615,699,49,43,Tooth.TOOTH
25,62,650,672,30,30,Tooth.GAP
26,19,672,625,48,40,Tooth.TOOTH
27,20,709,581,48,40,Tooth.TOOTH
28,21,755,539,38,60,Tooth.TOOTH
29,22,796,502,38,60,Tooth.TOOTH
30,63,845,488,30,30,Tooth.GAP
31,46,912,459,30,30,Tooth.TOOTH
32,64,965,459,30,30,Tooth.GAP
33,23,1013,443,38,60,Tooth.TOOTH
34,65,1069,450,30,30,Tooth.CENTER_G
35,24,1110,435,38,60,Tooth.TOOTH
36,25,1173,454,36,35,Tooth.TOOTH
37,26,1217,470,36,35,Tooth.TOOTH
38,27,1268,494,36,35,Tooth.TOOTH
39,28,1313,521,36,35,Tooth.TOOTH
40,29,1357,548,46,53,Tooth.TOOTH
41,66,1405,593,30,30,Tooth.GAP
42,30,1437,627,48,40,Tooth.TOOTH
43,31,1478,661,49,43,Tooth.TOOTH
44,67,1511,705,30,30,Tooth.GAP
45,32,1551,735,38,60,Tooth.TOOTH
46,33,1582,780,38,60,Tooth.TOOTH
47,68,1610,838,30,30,Tooth.GAP
48,34,1640,875,38,60,Tooth.TOOTH
49,35,1669,921,49,43,Tooth.TOOTH
50,36,1686,967,38,60,Tooth.TOOTH
51,47,1719,1024,30,30,Tooth.TOOTH
52,37,1745,1048,64,44,Tooth.TOOTH
53,38,1753,1089,38,60,Tooth.TOOTH
54,48,1787,1147,30,30,Tooth.TOOTH
55,69,1808,1171,30,30,Tooth.GAP
56,39,1837,1204,38,60,Tooth.TOOTH
57,70,1861,1260,30,30,Tooth.GAP
58,50,1872,1291,30,30,Tooth.TOOTH
59,71,1889,1324,30,30,Tooth.GAP
60,40,1914,1362,53,48,Tooth.TOOTH
61,49,1943,1418,30,30,Tooth.TOOTH
62,52,1960,1461,30,30,Tooth.TOOTH
63,51,1981,1507,30,30,Tooth.TOOTH
64,53,2007,1538,30,30,Tooth.TOOTH
65,54,2013,1580,30,30,Tooth.TOOTH
66,55,2052,1625,30,30,Tooth.TOOTH
67,41,2062,1654,38,60,Tooth.TOOTH
68,72,2087,1708,30,30,Tooth.GAP
69,42,2102,1732,38,64,Tooth.TOOTH
70,56,2129,1788,30,30,Tooth.TOOTH
71,57,2150,1826,30,30,Tooth.TOOTH
72,43,2178,1858,38,60,Tooth.TOOTH
