,x,y,w,h,type
0,63,76.30792417776058,50,50,Tooth.TOOTH
1,128,95.92635133934706,50,50,Tooth.TOOTH
2,172,101.46357372343195,50,50,Tooth.TOOTH
3,223,104.51322632473155,50,50,Tooth.TOOTH
4,269,109.43147965397353,50,50,Tooth.TOOTH
5,314,106.60024516418949,50,50,Tooth.TOOTH
6,354,85.44558731629762,50,50,Tooth.TOOTH
7,411,105.97230154392406,50,50,Tooth.TOOTH
8,477,106.88527831684068,50,50,Tooth.TOOTH
9,541,98.30832410234632,50,50,Tooth.GAP
10,600,100.55391777477244,50,50,Tooth.TOOTH
11,646,109.5105681574768,50,50,Tooth.TOOTH
12,691,109.98352435187249,50,50,Tooth.TOOTH
13,785,107.9427358293533,50,50,Tooth.TOOTH
14,831,108.21266676595532,50,50,Tooth.TOOTH
15,877,112.27072209892935,50,50,Tooth.TOOTH
16,925,110.23579137120586,50,50,Tooth.TOOTH
17,969,109.09159091591835,50,50,Tooth.TOOTH
18,1023,109.73758174694464,50,50,Tooth.TOOTH
19,1062,98.31829062891501,50,50,Tooth.GAP
20,1111,94.84052965865686,50,50,Tooth.TOOTH
21,1165,106.53900736985659,50,50,Tooth.TOOTH
22,1207,92.1867041238092,50,50,Tooth.GAP
23,1264,90.9997574920648,50,50,Tooth.TOOTH
24,1322,85.07431574091848,50,50,Tooth.TOOTH
25,1371,86.66114619769856,50,50,Tooth.GAP
26,1425,84.1943435743815,50,50,Tooth.TOOTH
27,1483,79.51718464884758,50,50,Tooth.TOOTH
28,1535,78.60953466503359,50,50,Tooth.GAP
29,1583,80.04069816561105,50,50,Tooth.TOOTH
30,1635,77.16146705173799,50,50,Tooth.TOOTH
31,1675,77.53139058505218,50,50,Tooth.GAP
32,1731,86.48393143798813,50,50,Tooth.TOOTH
33,1773,90.09594068036905,50,50,Tooth.GAP
34,1838,94.69225735295987,50,50,Tooth.TOOTH
35,1896,100.71245309246326,50,50,Tooth.TOOTH
36,1950,114.73314591858951,50,50,Tooth.TOOTH
37,2011,120.0249283711652,50,50,Tooth.TOOTH
38,2076,138.67647797891001,50,50,Tooth.GAP
39,2135,149.17421025116562,50,50,Tooth.CENTER_T
40,2203,140.05745657035044,50,50,Tooth.GAP
41,2246,127.70657733949042,50,50,Tooth.TOOTH
42,2308,126.07964607788594,50,50,Tooth.TOOTH
43,2361,115.97167394928046,50,50,Tooth.TOOTH
44,2421,106.98529325482457,50,50,Tooth.TOOTH
45,2475,101.21542484798731,50,50,Tooth.TOOTH
46,2540,96.7216238794807,50,50,Tooth.TOOTH
47,2594,93.43688701311484,50,50,Tooth.TOOTH
48,2645,91.47173523192431,50,50,Tooth.TOOTH
49,2700,81.17088799446218,50,50,Tooth.TOOTH
50,2745,85.93819133773863,50,50,Tooth.GAP
51,2803,84.84078356053497,50,50,Tooth.TOOTH
52,2874,86.63263097133118,50,50,Tooth.GAP
53,2926,87.02002908091801,50,50,Tooth.GAP
54,2972,90.40136976246471,50,50,Tooth.TOOTH
55,3030,97.28079208851248,50,50,Tooth.TOOTH
56,3080,105.51370804309816,50,50,Tooth.GAP
57,3123,108.94037655434484,50,50,Tooth.TOOTH
58,3173,93.95850700422353,50,50,Tooth.TOOTH
59,3213,111.52512984272747,50,50,Tooth.TOOTH
60,3271,115.07273574280183,50,50,Tooth.TOOTH
61,3321,98.25224838347661,50,50,Tooth.TOOTH
62,3355,94.33950716696742,50,50,Tooth.TOOTH
63,3405,89.16514726142476,50,50,Tooth.TOOTH
64,3450,121.15139688147435,50,50,Tooth.TOOTH
65,3489,105.6981371012133,50,50,Tooth.TOOTH
66,3541,120.54772294769369,50,50,Tooth.TOOTH
67,3593,123.7021810461389,50,50,Tooth.TOOTH
68,3641,91.35911894134424,50,50,Tooth.TOOTH
69,3687,90.48510141079991,50,50,Tooth.TOOTH
70,3734,91.63219090170716,50,50,Tooth.TOOTH
71,3773,101.30709209050802,50,50,Tooth.TOOTH
72,3826,91.1041356573865,50,50,Tooth.TOOTH
73,3869,102.24250583277411,50,50,Tooth.TOOTH
74,3919,91.15393160989609,50,50,Tooth.TOOTH
75,3953,102.7198571004828,50,50,Tooth.TOOTH
76,4005,100.96199380757756,50,50,Tooth.TOOTH
77,4048,95.35997320782782,50,50,Tooth.TOOTH
78,4101,95.48274862622264,50,50,Tooth.TOOTH
79,4145,102.03045365082043,50,50,Tooth.TOOTH
80,4183,105.59758460013661,50,50,Tooth.TOOTH
81,4247,97.82814048567352,50,50,Tooth.TOOTH
