,x,y,w,h,score,match
52,31,4145,41,53,0.8376474,7 copy.jpg
0,57,4265,53,54,0.7918744,2 copy.jpg
19,58,2744,61,46,0.8847104,1 copy.jpg
20,59,2848,61,46,0.88940895,1 copy.jpg
21,61,2903,61,46,0.81839806,1 copy.jpg
43,63,1546,41,53,0.8995649,7 copy.jpg
42,64,1450,41,53,0.8872137,7 copy.jpg
44,65,1703,41,53,0.88736033,7 copy.jpg
1,66,96,61,46,0.82000566,1 copy.jpg
41,66,1393,41,53,0.8924637,7 copy.jpg
38,67,4320,61,46,0.77278745,1 copy.jpg
2,67,144,61,46,0.90284497,1 copy.jpg
36,67,4169,61,46,0.8629748,1 copy.jpg
49,67,2643,41,53,0.8677306,7 copy.jpg
22,67,3013,61,46,0.8201539,1 copy.jpg
23,68,3108,61,46,0.8652806,1 copy.jpg
30,68,3836,61,46,0.89122194,1 copy.jpg
18,68,2587,61,46,0.80327547,1 copy.jpg
35,69,4121,61,46,0.8580819,1 copy.jpg
37,69,4222,61,46,0.8038454,1 copy.jpg
10,69,1857,61,46,0.78390044,1 copy.jpg
45,69,1802,41,53,0.82291436,7 copy.jpg
32,71,3932,61,46,0.8896078,1 copy.jpg
3,72,240,61,46,0.90112776,1 copy.jpg
31,72,3888,61,46,0.9204111,1 copy.jpg
34,73,4028,61,46,0.94440454,1 copy.jpg
4,73,289,61,46,0.9074044,1 copy.jpg
29,73,3792,61,46,0.9224823,1 copy.jpg
46,74,1909,41,53,0.8143077,7 copy.jpg
7,74,432,61,46,0.8782686,1 copy.jpg
48,74,2475,41,53,0.8640327,7 copy.jpg
33,74,3978,61,46,0.84702057,1 copy.jpg
40,75,1236,41,53,0.7741791,7 copy.jpg
27,75,3607,61,46,0.7585352,1 copy.jpg
24,75,3200,61,46,0.83331245,1 copy.jpg
5,75,335,61,46,0.8953632,1 copy.jpg
6,75,384,61,46,0.919297,1 copy.jpg
50,76,3372,41,53,0.8491405,7 copy.jpg
8,76,480,61,46,0.91646504,1 copy.jpg
28,76,3656,61,46,0.7905516,1 copy.jpg
26,77,3514,61,46,0.85032237,1 copy.jpg
25,77,3299,61,46,0.7932066,1 copy.jpg
47,77,2420,41,53,0.88993007,7 copy.jpg
39,78,1137,41,53,0.8175865,7 copy.jpg
9,78,712,61,46,0.8267413,1 copy.jpg
51,79,3421,41,53,0.8162064,7 copy.jpg
17,80,2365,61,46,0.8452993,1 copy.jpg
11,80,1963,61,46,0.85635334,1 copy.jpg
12,84,2020,61,46,0.7769842,1 copy.jpg
16,86,2308,61,46,0.8683125,1 copy.jpg
15,95,2249,61,46,0.8537454,1 copy.jpg
13,100,2081,61,46,0.83813936,1 copy.jpg
14,104,2198,61,46,0.82335037,1 copy.jpg
