,x,y,w,h,score,match
6,122,1811,68,44,0.83802617,left_back_bent.jpg
61,140,1759,64,44,0.7595281,left_angled.jpg
50,166,1662,49,43,0.7615689,small_round.jpg
49,181,1619,49,43,0.7850747,small_round.jpg
10,201,1730,36,35,0.86160743,round_light.jpg
5,205,1583,68,44,0.83901364,left_back_bent.jpg
45,236,1491,49,43,0.82711136,small_round.jpg
44,257,1446,49,43,0.92707324,small_round.jpg
43,273,1403,49,43,0.86243474,small_round.jpg
41,290,1357,49,43,0.92036873,small_round.jpg
4,311,1313,68,44,0.8566148,left_back_bent.jpg
38,332,1260,49,43,0.8989618,small_round.jpg
60,363,1182,64,44,0.9032908,left_angled.jpg
59,391,1103,64,44,0.7980145,left_angled.jpg
1,426,1023,68,44,0.8632737,left_back_bent.jpg
35,442,975,49,43,0.9033062,small_round.jpg
57,461,934,64,44,0.85231483,left_angled.jpg
33,475,893,49,43,0.85219073,small_round.jpg
56,496,852,64,44,0.9129804,left_angled.jpg
55,516,808,64,44,0.8078107,left_angled.jpg
54,555,722,64,44,0.8183085,left_angled.jpg
32,641,544,49,43,0.81226623,small_round.jpg
31,688,445,49,43,0.8170259,small_round.jpg
24,939,132,48,40,0.8427232,03_18_2023 LG 282 copy.jpg
17,1042,80,38,60,0.90886605,middle round.jpg
15,1100,65,38,60,0.8815768,middle round.jpg
23,1139,59,48,40,0.8533296,03_18_2023 LG 282 copy.jpg
13,1204,54,38,60,0.93168837,middle round.jpg
14,1296,60,38,60,0.89000577,middle round.jpg
16,1348,70,38,60,0.92197067,middle round.jpg
7,1394,97,44,44,0.81353223,12_20_2022 LG 282 copy 2.jpg
28,1532,189,49,43,0.8887947,small_round.jpg
29,1642,298,49,43,0.8285098,small_round.jpg
30,1699,382,49,43,0.89062893,small_round.jpg
18,1732,423,38,60,0.9173868,middle round.jpg
19,1784,518,38,60,0.86665595,middle round.jpg
20,1812,566,38,60,0.82062364,middle round.jpg
53,1854,652,64,44,0.794554,left_angled.jpg
0,1877,699,68,44,0.79413146,left_back_bent.jpg
25,1905,788,48,40,0.8712925,03_18_2023 LG 282 copy.jpg
26,1950,856,48,40,0.8933077,03_18_2023 LG 282 copy.jpg
34,1967,895,49,43,0.88275206,small_round.jpg
36,2005,976,49,43,0.84550065,small_round.jpg
58,2043,1060,64,44,0.7643261,left_angled.jpg
27,2073,1141,48,40,0.75308865,03_18_2023 LG 282 copy.jpg
37,2094,1185,49,43,0.8172937,small_round.jpg
3,2120,1232,68,44,0.84968776,left_back_bent.jpg
2,2139,1114,68,44,0.7673427,left_back_bent.jpg
8,2145,989,36,35,0.7522848,round_light.jpg
39,2151,1307,49,43,0.8025394,small_round.jpg
40,2170,1349,49,43,0.8128808,small_round.jpg
9,2178,1176,36,35,0.80116796,round_light.jpg
42,2187,1392,49,43,0.8509166,small_round.jpg
21,2207,1432,38,60,0.8716752,middle round.jpg
46,2243,1520,49,43,0.89697427,small_round.jpg
47,2261,1560,49,43,0.80671656,small_round.jpg
12,2265,1874,36,35,0.81406456,round_light.jpg
48,2279,1602,49,43,0.8457617,small_round.jpg
22,2303,1645,38,60,0.842272,middle round.jpg
11,2321,1868,36,35,0.7704977,round_light.jpg
51,2337,1736,49,43,0.7615289,small_round.jpg
52,2376,1835,49,43,0.78238153,small_round.jpg
62,2394,1875,64,44,0.7831149,left_angled.jpg
