,x,y,w,h,score,match
14,82,1844,36,35,0.78588426,round_light.jpg
9,226,1792,68,44,0.8089274,left_back_bent.jpg
57,278,1458,64,44,0.781771,left_angled.jpg
56,295,1412,64,44,0.7871493,left_angled.jpg
7,312,1371,68,44,0.82115513,left_back_bent.jpg
55,348,1279,64,44,0.80827147,left_angled.jpg
54,363,1235,64,44,0.7594826,left_angled.jpg
52,378,1193,64,44,0.7675287,left_angled.jpg
8,395,1407,68,44,0.7671369,left_back_bent.jpg
6,405,1333,68,44,0.7823604,left_back_bent.jpg
3,408,1113,68,44,0.7765493,left_back_bent.jpg
2,427,1070,68,44,0.78663874,left_back_bent.jpg
1,461,981,68,44,0.8400699,left_back_bent.jpg
47,479,935,64,44,0.769837,left_angled.jpg
46,503,895,64,44,0.7604897,left_angled.jpg
0,518,855,68,44,0.8113978,left_back_bent.jpg
45,541,806,64,44,0.7942237,left_angled.jpg
43,556,763,64,44,0.78307015,left_angled.jpg
42,595,671,64,44,0.7567137,left_angled.jpg
41,638,577,64,44,0.7901608,left_angled.jpg
40,662,527,64,44,0.7677601,left_angled.jpg
11,727,245,36,35,0.75692624,round_light.jpg
35,736,391,49,43,0.8104285,small_round.jpg
33,796,301,49,43,0.7519465,small_round.jpg
18,990,120,38,60,0.8226758,middle round.jpg
31,1037,97,49,43,0.79932135,small_round.jpg
16,1152,68,38,60,0.84859467,middle round.jpg
15,1201,57,38,60,0.8355654,middle round.jpg
30,1250,67,49,43,0.8410702,small_round.jpg
24,1297,64,48,40,0.82237107,03_18_2023 LG 282 copy.jpg
25,1350,73,48,40,0.84913546,03_18_2023 LG 282 copy.jpg
10,1352,136,36,35,0.8677023,round_light.jpg
17,1459,118,38,60,0.90246874,middle round.jpg
19,1505,148,38,60,0.8419689,middle round.jpg
26,1544,205,48,40,0.82291347,03_18_2023 LG 282 copy.jpg
32,1588,234,49,43,0.7948407,small_round.jpg
27,1621,277,48,40,0.88932455,03_18_2023 LG 282 copy.jpg
34,1691,355,49,43,0.88150257,small_round.jpg
36,1722,396,49,43,0.89256024,small_round.jpg
20,1783,488,38,60,0.8994944,middle round.jpg
21,1810,535,38,60,0.9025303,middle round.jpg
28,1849,633,48,40,0.87872106,03_18_2023 LG 282 copy.jpg
22,1921,749,38,60,0.8532512,middle round.jpg
12,1947,659,36,35,0.7645655,round_light.jpg
44,1947,800,64,44,0.855759,left_angled.jpg
37,1961,842,49,43,0.8387358,small_round.jpg
29,1997,905,48,40,0.8056158,03_18_2023 LG 282 copy.jpg
38,2020,952,49,43,0.8498046,small_round.jpg
48,2043,994,64,44,0.77932405,left_angled.jpg
49,2061,1038,64,44,0.82834923,left_angled.jpg
50,2081,1082,64,44,0.8381442,left_angled.jpg
23,2105,1634,38,60,0.85589427,middle round.jpg
51,2106,1124,64,44,0.78401315,left_angled.jpg
53,2143,1208,64,44,0.78390527,left_angled.jpg
39,2181,1289,49,43,0.7815669,small_round.jpg
4,2230,1167,68,44,0.8535917,left_back_bent.jpg
13,2233,1613,36,35,0.776155,round_light.jpg
58,2278,1505,64,44,0.7667048,left_angled.jpg
5,2300,1332,68,44,0.7504161,left_back_bent.jpg
59,2373,1724,64,44,0.7847918,left_angled.jpg
