,date,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
33,2022-11-08,,-2141,-2084,-2023,-1978,-1932,-1887,-1849,-1810,-1772,-1734,-1699,-1661,-1616,-1576,-1538,-1496,-1458,-1417,-1374,-1333,-1284,-1242,-1200,-1153,-1107,-1059,-1012,-960,-908,-864,-809,-764,-712,-662,-614,-558,-502,-456,-409,-362,-295,-247,-198,-143,-95,-45,0,47,95,136,199,248,310,380,431,484,528,577,636,681,734,784,835,881,928,972,1015,1066,1107,1159,1206,1255,1298,1338,1379,1413,1461,1505,1538,1582,1621,1660,1696,1740,1778,1818,1857,1899,1939,1977,2026,2074,2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022-11-11,,-2144,-2088,-2026,-1984,-1942,-1890,-1850,-1807,-1772,-1734,-1700,-1661,-1626,-1584,-1538,-1505,-1460,-1425,-1382,-1336,-1294,-1253,-1199,-1160,-1110,-1062,-1016,-971,-910,-858,-816,-765,-720,-668,-617,-567,-513,-462,-418,-367,-301,-252,-200,-154,-97,-43,0,49,99,149,207,258,304,352,391,443,497,545,589,648,696,747,804,850,895,939,983,1032,1077,1119,1179,1218,1262,1309,1359,1398,1433,1468,1512,1555,1595,1640,1672,1711,1750,1790,1835,1875,1913,1954,1990,2037,2082,2116,2152,2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022-11-15,,,-2032,-1986,-1938,-1892,-1856,-1817,-1779,-1741,-1702,-1665,-1624,-1581,-1543,-1502,-1461,-1423,-1380,-1338,-1296,-1249,-1208,-1161,-1117,-1063,-1014,-964,-918,-867,-817,-768,-729,-695,-665,-612,-555,-514,-463,-416,-369,-313,-250,-199,-148,-97,-53,0,45,96,144,199,254,329,390,436,486,538,587,641,693,744,796,844,890,934,979,1025,1077,1125,1173,1217,1264,1305,1356,1390,1430,1472,1514,1553,1591,1632,1671,1711,1755,1788,1830,1865,1909,1951,1991,2037,2083,2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022-11-18,,,-2096,-2025,-1985,-1946,-1902,-1862,-1823,-1782,-1745,-1714,-1667,-1627,-1589,-1552,-1507,-1471,-1425,-1384,-1342,-1299,-1253,-1211,-1163,-1116,-1070,-1019,-970,-921,-872,-826,-773,-732,-669,-614,-555,-516,-457,-418,-369,-315,-243,-195,-143,-95,-52,0,51,93,145,198,242,316,389,434,485,540,585,643,688,736,794,841,897,934,975,1033,1074,1127,1177,1217,1260,1304,1348,1383,1428,1468,1511,1552,1592,1629,1669,1709,1748,1793,1825,1862,1907,1949,1990,2036,2084,2141,2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2022-11-22,,,,-1983,-1934,-1890,-1857,-1816,-1785,-1742,-1702,-1664,-1625,-1588,-1551,-1506,-1474,-1427,-1384,-1345,-1297,-1253,-1211,-1166,-1118,-1071,-1020,-973,-919,-877,-825,-776,-725,-671,-621,-568,-513,-464,-421,-373,-340,-300,-253,-205,-148,-97,-43,0,42,93,144,194,252,320,387,442,487,535,586,635,690,745,794,845,886,933,977,1020,1072,1122,1167,1215,1259,1301,1349,1389,1429,1473,1511,1551,1588,1633,1666,1708,1742,1783,1821,1863,1905,1952,1990,2030,2082,2143,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2022-11-25,-2101,-2069,-2034,-1993,-1943,-1913,-1872,-1831,-1795,-1758,-1719,-1678,-1640,-1599,-1559,-1518,-1477,-1438,-1393,-1356,-1310,-1264,-1220,-1177,-1128,-1081,-1028,-980,-931,-884,-843,-777,-734,-683,-628,-574,-520,-466,-423,-377,-336,-307,-260,-215,-149,-97,-43,0,47,98,146,212,265,328,384,445,493,543,595,648,699,760,807,857,897,942,991,1028,1081,1131,1178,1225,1270,1314,1363,1405,1445,1486,1528,1568,1605,1646,1680,1724,1763,1799,1837,1876,1921,1959,2002,2042,2095,2147,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2022-11-29,,-2147,-2099,-2036,-1983,-1944,-1902,-1852,-1820,-1778,-1745,-1701,-1663,-1629,-1586,-1543,-1502,-1465,-1424,-1386,-1340,-1291,-1243,-1205,-1160,-1112,-1065,-1018,-968,-922,-870,-812,-778,-726,-669,-615,-559,-505,-453,-415,-360,-302,-241,-194,-140,-98,-44,0,52,103,145,204,253,322,386,442,490,540,591,642,696,753,807,847,889,932,982,1027,1074,1127,1174,1220,1264,1312,1354,1394,1434,1475,1517,1557,1601,1635,1675,1715,1755,1792,1830,1866,1916,1952,1995,2039,2086,2140,2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2022-12-02,,,-2100,-2041,-1997,-1947,-1906,-1861,-1825,-1788,-1749,-1708,-1676,-1631,-1588,-1553,-1509,-1470,-1431,-1393,-1345,-1296,-1257,-1216,-1161,-1111,-1069,-1021,-971,-922,-869,-821,-778,-720,-667,-608,-560,-508,-457,-405,-355,-294,-245,-193,-136,-90,-42,0,49,94,146,202,251,314,377,440,487,542,589,640,690,749,791,846,889,934,982,1028,1088,1126,1173,1221,1261,1308,1357,1399,1440,1474,1517,1560,1597,1638,1671,1717,1754,1795,1834,1876,1916,1956,1997,2044,2091,2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2022-12-06,,,,,,,,-1834,-1795,-1751,-1708,-1677,-1637,-1600,-1565,-1521,-1479,-1442,-1400,-1358,-1319,-1260,-1215,-1173,-1128,-1081,-1031,-981,-936,-878,-827,-778,-727,-679,-621,-569,-513,-469,-424,-374,-339,-307,-260,-206,-154,-102,-43,0,44,97,152,213,269,331,394,450,496,552,602,652,704,762,810,862,903,950,995,1039,1091,1141,1189,1237,1279,1325,1370,1412,1454,1493,1541,1577,1614,1650,1694,1731,1773,1812,1853,1891,1932,1974,2018,2064,2096,2130,2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2022-12-09,,-2057,-2007,-1962,-1914,-1879,-1843,-1804,-1766,-1726,-1687,-1647,-1608,-1567,-1524,-1485,-1438,-1402,-1361,-1315,-1268,-1219,-1180,-1131,-1083,-1033,-984,-936,-883,-835,-786,-733,-694,-657,-626,-573,-517,-468,-423,-376,-338,-305,-266,-204,-150,-97,-44,0,49,101,152,213,265,329,393,446,492,546,595,648,701,756,805,846,898,943,992,1034,1086,1134,1183,1226,1273,1320,1364,1404,1445,1487,1537,1570,1609,1644,1687,1723,1769,1804,1847,1883,1918,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
