MATCH       | '01_27_2023 LG 282.jpg: 1.5859248638153076 s
MATCH       | '12_23_2022 LG 282.jpg: 2.075852155685425 s
MATCH       | '03_18_2023 LG 282.jpg: 1.8112831115722656 s
MATCH       | '04_21_2023 LG 282.jpg: 4.70362401008606 s
MATCH       | '01_31_2023 LG 282.jpg: 1.7711706161499023 s
MATCH       | '11_08_2022 LG 282.jpg: 2.7342240810394287 s
MATCH       | '12_16_2022 LG 282.jpg: 2.082512140274048 s
MATCH       | '02_28_2023 LG 282.jpg: 3.7236249446868896 s
MATCH       | '11_11_2022 LG 282.jpg: 2.576292037963867 s
MATCH       | '01_20_2023 LG 282.jpg: 1.1874470710754395 s
MATCH       | '03_10_2023 LG 282.jpg: 2.549262285232544 s
MATCH       | '04_14_2023 LG 282.jpg: 2.16972279548645 s
MATCH       | '02_03_2023 LG 282.jpg: 2.067660093307495 s
MATCH       | '03_07_2023 LG 282.jpg: 2.330979108810425 s
MATCH       | '01_13_2023 LG 282.jpg: 1.9593191146850586 s
MATCH       | '02_14_2023 LG 282.jpg: 1.7951469421386719 s
MATCH       | '11_22_2022 LG 282.jpg: 3.303286075592041 s
MATCH       | '01_02_2023 LG 282.jpg: 1.3087241649627686 s
MATCH       | '12_06_2022 LG 282.jpg: 1.3927819728851318 s
MATCH       | '02_21_2023 LG 282.jpg: 2.7412831783294678 s
MATCH       | '11_25_2022 LG 282.jpg: 1.699333906173706 s
MATCH       | '11_18_2022 LG 282.jpg: 2.561530828475952 s
MATCH       | '03_24_2023 LG 282.jpg: 3.666466236114502 s
MATCH       | '04_04_2023 LG 282.jpg: 1.9876117706298828 s
MATCH       | '12_09_2022 LG 282.jpg: 1.8880090713500977 s
MATCH       | '03_21_2023 LG 282.jpg: 2.0509800910949707 s
MATCH       | '04_25_2023 LG 282.jpg: 3.464797019958496 s
MATCH       | '04_18_2023 LG 282.jpg: 2.4255361557006836 s
MATCH       | '02_24_2023 LG 282.jpg: 2.623284101486206 s
MATCH       | '12_20_2022 LG 282.jpg: 2.1230757236480713 s
MATCH       | '01_24_2023 LG 282.jpg: 1.8065557479858398 s
MATCH       | '03_14_2023 LG 282.jpg: 1.9830350875854492 s
MATCH       | '02_07_2023 LG 282.jpg: 1.4968581199645996 s
MATCH       | '11_15_2022 LG 282.jpg: 2.232097864151001 s
MATCH       | '03_28_2023 LG 282.jpg: 1.9591679573059082 s
MATCH       | '03_31_2023 LG 282.jpg: 1.9877080917358398 s
MATCH       | '04_11_2023 LG 282.jpg: 2.07370924949646 s
MATCH       | '03_03_2023 LG 282.jpg: 2.7009401321411133 s
MATCH       | '04_07_2023 LG 282.jpg: 1.6650080680847168 s
MATCH       | '01_17_2023 LG 282.jpg: 2.799329996109009 s
MATCH       | '11_29_2022 LG 282.jpg: 2.027108669281006 s
MATCH       | '02_10_2023 LG 282.jpg: 1.8433990478515625 s
MATCH       | '12_13_2022 LG 282.jpg: 1.4264938831329346 s
MATCH       | '12_29_2022 LG 282.jpg: 1.5588879585266113 s
MATCH       | '02_17_2023 LG 282.jpg: 2.099494218826294 s
MATCH       | '01_10_2023 LG 282.jpg: 1.8198652267456055 s
MATCH       | '01_06_2023 LG 282.jpg: 1.556166172027588 s
MATCH       | '12_02_2022 LG 282.jpg: 2.206244945526123 s
MANUAL      | '01_27_2023 LG 282.jpg': 209.65023589134216 s
MANUAL      | '12_23_2022 LG 282.jpg': 31.338346004486084 s
MANUAL      | '03_18_2023 LG 282.jpg': 41.15796518325806 s
MANUAL      | '04_21_2023 LG 282.jpg': 69.31193995475769 s
MANUAL      | '01_31_2023 LG 282.jpg': 51.59157085418701 s
MANUAL      | '11_08_2022 LG 282.jpg': 45.28915882110596 s
MANUAL      | '12_16_2022 LG 282.jpg': 42.82752704620361 s
