,x,y,w,h,score,match
12,179,1818,30,30,0.83383524,left_back_bent.jpg
10,206,1759,30,30,0.8457834,left_back_bent.jpg
8,236,1671,30,30,0.88734245,left_back_bent.jpg
7,249,1601,30,30,0.87820244,left_back_bent.jpg
6,277,1528,30,30,0.88660175,left_back_bent.jpg
5,305,1456,30,30,0.8637281,left_back_bent.jpg
14,319,1388,30,30,0.83836067,top_left.jpg
4,353,1346,30,30,0.8266024,left_back_bent.jpg
3,383,1271,30,30,0.8599432,left_back_bent.jpg
42,392,1191,30,30,0.8226817,03_18_2023 LG 282 copy.jpg
2,430,1159,30,30,0.8215787,left_back_bent.jpg
39,447,1069,30,30,0.78311986,03_18_2023 LG 282 copy.jpg
37,467,1030,30,30,0.8245074,03_18_2023 LG 282 copy.jpg
35,484,990,30,30,0.8561008,03_18_2023 LG 282 copy.jpg
53,509,943,30,30,0.8264345,small_round.jpg
34,547,860,30,30,0.8145787,03_18_2023 LG 282 copy.jpg
51,571,817,30,30,0.79493463,small_round.jpg
32,589,773,30,30,0.7507509,03_18_2023 LG 282 copy.jpg
0,656,692,30,30,0.7871797,left_back_bent.jpg
49,689,593,30,30,0.81504774,small_round.jpg
47,778,459,30,30,0.83675796,small_round.jpg
28,867,341,30,30,0.797352,03_18_2023 LG 282 copy.jpg
27,948,265,30,30,0.83204454,03_18_2023 LG 282 copy.jpg
24,1039,211,30,30,0.85528606,middle round.jpg
23,1086,189,30,30,0.7642412,middle round.jpg
19,1165,207,30,30,0.77485305,round_light.jpg
26,1225,157,30,30,0.7602838,03_18_2023 LG 282 copy.jpg
18,1288,200,30,30,0.82408017,round_light.jpg
56,1319,165,30,30,0.85401833,12_20_2022 LG 282 copy.jpg
57,1367,174,30,30,0.8172789,12_20_2022 LG 282 copy.jpg
58,1422,190,30,30,0.8288903,12_20_2022 LG 282 copy.jpg
15,1522,243,30,30,0.7906471,right_small_weird.jpg
16,1616,313,30,30,0.78020746,right_small_weird.jpg
46,1650,349,30,30,0.80042505,small_round.jpg
17,1686,386,30,30,0.7874817,right_small_weird.jpg
25,1723,426,30,30,0.75567716,middle round.jpg
48,1757,466,30,30,0.8055189,small_round.jpg
29,1817,553,30,30,0.76453733,03_18_2023 LG 282 copy.jpg
20,1847,597,30,30,0.8362524,round_light.jpg
30,1897,676,30,30,0.8978824,03_18_2023 LG 282 copy.jpg
31,1919,716,30,30,0.8582203,03_18_2023 LG 282 copy.jpg
50,1946,752,30,30,0.8208167,small_round.jpg
1,1983,798,30,30,0.84590936,left_back_bent.jpg
33,1990,838,30,30,0.8034966,03_18_2023 LG 282 copy.jpg
55,2029,880,30,30,0.8254104,left_angled.jpg
52,2040,919,30,30,0.8331573,small_round.jpg
21,2062,961,30,30,0.76538956,round_light.jpg
36,2081,999,30,30,0.8540847,03_18_2023 LG 282 copy.jpg
38,2101,1040,30,30,0.85914195,03_18_2023 LG 282 copy.jpg
54,2124,1076,30,30,0.7674378,small_round.jpg
40,2140,1115,30,30,0.8660263,03_18_2023 LG 282 copy.jpg
41,2180,1187,30,30,0.9096052,03_18_2023 LG 282 copy.jpg
22,2202,1224,30,30,0.7838728,round_light.jpg
43,2231,1295,30,30,0.81947505,03_18_2023 LG 282 copy.jpg
44,2263,1367,30,30,0.8495319,03_18_2023 LG 282 copy.jpg
45,2299,1437,30,30,0.81011564,03_18_2023 LG 282 copy.jpg
9,2445,1730,30,30,0.7749966,left_back_bent.jpg
11,2471,1801,30,30,0.8037342,left_back_bent.jpg
13,2484,1849,30,30,0.7630646,left_back_bent.jpg
