,x,y,w,h,score,match
49,210,1836,38,60,0.8435018,middle round.jpg
18,261,1669,68,44,0.89108366,left_back_bent.jpg
71,264,1741,64,44,0.86398435,left_angled.jpg
17,269,1628,68,44,0.92363065,left_back_bent.jpg
15,294,1543,68,44,0.9039296,left_back_bent.jpg
13,302,1495,68,44,0.9065638,left_back_bent.jpg
68,322,1447,64,44,0.83944255,left_angled.jpg
20,327,1727,68,44,0.79869837,left_back_bent.jpg
10,332,1407,68,44,0.9387774,left_back_bent.jpg
9,350,1364,68,44,0.890238,left_back_bent.jpg
19,355,1670,68,44,0.8143538,left_back_bent.jpg
67,383,1270,64,44,0.8456723,left_angled.jpg
8,395,1228,68,44,0.90037894,left_back_bent.jpg
6,411,1183,68,44,0.91683847,left_back_bent.jpg
11,411,1439,68,44,0.8468448,left_back_bent.jpg
5,427,1136,68,44,0.8864616,left_back_bent.jpg
26,452,1290,53,48,0.81276554,top_left.jpg
65,462,1034,49,43,0.85183346,small_round.jpg
25,475,1237,53,48,0.8285017,top_left.jpg
64,477,984,49,43,0.85783285,small_round.jpg
4,510,1124,68,44,0.78619456,left_back_bent.jpg
61,518,883,49,43,0.8785102,small_round.jpg
24,530,1036,53,48,0.8013378,top_left.jpg
60,539,836,49,43,0.9118712,small_round.jpg
7,558,1207,68,44,0.7550597,left_back_bent.jpg
59,588,746,49,43,0.878766,small_round.jpg
3,593,1031,68,44,0.7765118,left_back_bent.jpg
58,615,699,49,43,0.8425712,small_round.jpg
34,641,982,36,35,0.7666775,round_light.jpg
2,653,910,68,44,0.7917752,left_back_bent.jpg
23,655,751,53,48,0.77960026,top_left.jpg
33,668,857,36,35,0.78354883,round_light.jpg
53,672,625,48,40,0.8813923,03_18_2023 LG 282 copy.jpg
1,698,823,68,44,0.767187,left_back_bent.jpg
52,709,581,48,40,0.85861534,03_18_2023 LG 282 copy.jpg
41,755,539,38,60,0.8180172,middle round.jpg
22,792,453,53,48,0.8527331,top_left.jpg
40,796,502,38,60,0.84559655,middle round.jpg
21,895,402,53,48,0.8699612,top_left.jpg
72,950,490,38,64,0.76363987,12_20_2022 LG 282 copy.jpg
38,1013,443,38,60,0.90641934,middle round.jpg
39,1061,475,38,60,0.75754035,middle round.jpg
55,1109,380,49,43,0.8477826,small_round.jpg
37,1110,435,38,60,0.941631,middle round.jpg
51,1168,397,48,40,0.8305385,03_18_2023 LG 282 copy.jpg
29,1173,454,36,35,0.8933111,round_light.jpg
36,1203,1896,36,35,0.7798175,round_light.jpg
30,1217,470,36,35,0.85217184,round_light.jpg
31,1268,494,36,35,0.9119289,round_light.jpg
56,1271,441,49,43,0.7801721,small_round.jpg
32,1313,521,36,35,0.8966067,round_light.jpg
28,1357,548,46,53,0.86647195,right_small_weird.jpg
35,1358,1642,36,35,0.7744135,round_light.jpg
54,1437,627,48,40,0.8700139,03_18_2023 LG 282 copy.jpg
57,1478,661,49,43,0.8910226,small_round.jpg
42,1551,735,38,60,0.9041773,middle round.jpg
43,1582,780,38,60,0.9130337,middle round.jpg
44,1640,875,38,60,0.81235844,middle round.jpg
62,1669,921,49,43,0.8021455,small_round.jpg
0,1680,804,68,44,0.7595513,left_back_bent.jpg
45,1686,967,38,60,0.8519833,middle round.jpg
66,1745,1048,64,44,0.80882347,left_angled.jpg
46,1753,1089,38,60,0.8648348,middle round.jpg
63,1831,946,49,43,0.77228683,small_round.jpg
47,1837,1204,38,60,0.8700211,middle round.jpg
73,1855,1287,38,64,0.8537594,12_20_2022 LG 282 copy.jpg
27,1914,1362,53,48,0.84933066,top_left.jpg
74,1941,1453,38,64,0.79044664,12_20_2022 LG 282 copy.jpg
69,2005,1534,64,44,0.7509683,left_angled.jpg
70,2049,1613,64,44,0.8040716,left_angled.jpg
48,2062,1654,38,60,0.87389725,middle round.jpg
14,2081,1502,68,44,0.8333378,left_back_bent.jpg
12,2083,1440,68,44,0.7862235,left_back_bent.jpg
16,2093,1578,68,44,0.79656535,left_back_bent.jpg
75,2102,1732,38,64,0.8127431,12_20_2022 LG 282 copy.jpg
50,2178,1858,38,60,0.89024854,middle round.jpg
