,x,y,w,h,type
0,85,1880,38,64,Tooth.TOOTH
1,104,1843,30,30,Tooth.TOOTH
2,124,1805,30,30,Tooth.TOOTH
3,128,1751,48,40,Tooth.TOOTH
4,153,1722,30,30,Tooth.TOOTH
5,168,1682,30,30,Tooth.TOOTH
6,177,1651,30,30,Tooth.GAP
7,199,1611,30,30,Tooth.TOOTH
8,216,1578,30,30,Tooth.GAP
9,229,1542,30,30,Tooth.TOOTH
10,248,1507,30,30,Tooth.GAP
11,276,1443,68,44,Tooth.TOOTH
12,292,1403,68,44,Tooth.TOOTH
13,309,1359,68,44,Tooth.TOOTH
14,331,1330,30,30,Tooth.GAP
15,342,1291,30,30,Tooth.TOOTH
16,353,1244,48,40,Tooth.TOOTH
17,377,1217,30,30,Tooth.TOOTH
18,411,1167,30,30,Tooth.TOOTH
19,422,1138,30,30,Tooth.TOOTH
20,441,1096,30,30,Tooth.TOOTH
21,462,1057,68,44,Tooth.TOOTH
22,491,1006,68,44,Tooth.TOOTH
23,511,972,30,30,Tooth.TOOTH
24,535,929,30,30,Tooth.TOOTH
25,557,890,30,30,Tooth.TOOTH
26,574,839,30,30,Tooth.TOOTH
27,599,799,30,30,Tooth.GAP
28,634,760,30,30,Tooth.TOOTH
29,653,711,30,30,Tooth.TOOTH
30,667,665,30,30,Tooth.GAP
31,713,621,30,30,Tooth.TOOTH
32,751,574,30,30,Tooth.TOOTH
33,790,540,30,30,Tooth.TOOTH
34,805,502,30,30,Tooth.TOOTH
35,834,450,30,30,Tooth.GAP
36,881,419,30,30,Tooth.TOOTH
37,918,391,30,30,Tooth.TOOTH
38,949,361,30,30,Tooth.GAP
39,996,322,30,30,Tooth.TOOTH
40,1045,296,30,30,Tooth.TOOTH
41,1099,278,30,30,Tooth.TOOTH
42,1141,247,38,60,Tooth.TOOTH
43,1194,245,30,30,Tooth.TOOTH
44,1232,236,38,60,Tooth.CENTER_T
45,1274,253,30,30,Tooth.TOOTH
46,1335,257,30,30,Tooth.TOOTH
47,1375,270,30,30,Tooth.TOOTH
48,1425,295,30,30,Tooth.TOOTH
49,1482,316,30,30,Tooth.TOOTH
50,1532,345,30,30,Tooth.TOOTH
51,1582,393,30,30,Tooth.TOOTH
52,1612,421,68,44,Tooth.TOOTH
53,1649,460,30,30,Tooth.GAP
54,1680,493,30,30,Tooth.TOOTH
55,1720,531,64,44,Tooth.TOOTH
56,1750,581,30,30,Tooth.GAP
57,1777,611,68,44,Tooth.TOOTH
58,1798,659,49,43,Tooth.TOOTH
59,1830,712,30,30,Tooth.TOOTH
60,1859,759,30,30,Tooth.TOOTH
61,1879,797,30,30,Tooth.GAP
62,1897,826,30,30,Tooth.TOOTH
63,1924,875,30,30,Tooth.TOOTH
64,1950,913,30,30,Tooth.GAP
65,1962,956,30,30,Tooth.TOOTH
66,1975,1007,36,35,Tooth.TOOTH
67,2005,1043,30,30,Tooth.GAP
68,2028,1081,30,30,Tooth.TOOTH
69,2053,1131,30,30,Tooth.TOOTH
70,2067,1172,30,30,Tooth.TOOTH
71,2091,1205,30,30,Tooth.TOOTH
72,2104,1236,30,30,Tooth.TOOTH
73,2122,1289,30,30,Tooth.TOOTH
74,2146,1317,30,30,Tooth.GAP
75,2167,1352,30,30,Tooth.TOOTH
76,2178,1390,30,30,Tooth.TOOTH
77,2188,1417,30,30,Tooth.TOOTH
78,2211,1463,30,30,Tooth.TOOTH
79,2212,1498,30,30,Tooth.TOOTH
80,2230,1537,30,30,Tooth.TOOTH
81,2257,1578,30,30,Tooth.TOOTH
82,2264,1613,30,30,Tooth.TOOTH
83,2281,1646,30,30,Tooth.TOOTH
84,2299,1680,30,30,Tooth.TOOTH
85,2309,1722,30,30,Tooth.TOOTH
86,2331,1759,30,30,Tooth.TOOTH
87,2349,1795,30,30,Tooth.TOOTH
88,2361,1833,30,30,Tooth.TOOTH
89,2378,1876,30,30,Tooth.TOOTH
