,x,y,w,h,type
0,79,96.62772318294775,50,50,Tooth.TOOTH
1,120,97.92635821519488,50,50,Tooth.TOOTH
2,157,97.92440595083892,50,50,Tooth.TOOTH
3,193,101.91245121155423,50,50,Tooth.TOOTH
4,229,99.45833014965517,50,50,Tooth.TOOTH
5,270,101.48312750549553,50,50,Tooth.TOOTH
6,308,102.68506282628786,50,50,Tooth.TOOTH
7,342,102.75183488404372,50,50,Tooth.GAP
8,383,97.98823075733353,50,50,Tooth.TOOTH
9,424,99.35852550436384,50,50,Tooth.TOOTH
10,466,103.50983321675689,50,50,Tooth.TOOTH
11,507,99.27616645344078,50,50,Tooth.TOOTH
12,547,103.56055256814398,50,50,Tooth.TOOTH
13,583,98.74880969175054,50,50,Tooth.TOOTH
14,625,100.92288006561199,50,50,Tooth.TOOTH
15,671,102.20095763242288,50,50,Tooth.TOOTH
16,719,101.43722851297657,50,50,Tooth.TOOTH
17,762,103.23439117810405,50,50,Tooth.GAP
18,802,100.5525730415909,50,50,Tooth.TOOTH
19,855,101.97271188298299,50,50,Tooth.TOOTH
20,901,100.04084306872949,50,50,Tooth.TOOTH
21,948,100.77438484649224,50,50,Tooth.TOOTH
22,996,99.65085471614154,50,50,Tooth.TOOTH
23,1044,98.38800108897973,50,50,Tooth.TOOTH
24,1098,95.87017990564522,50,50,Tooth.TOOTH
25,1145,95.49355821168375,50,50,Tooth.GAP
26,1194,95.12853604412105,50,50,Tooth.TOOTH
27,1245,99.5266940022222,50,50,Tooth.TOOTH
28,1297,94.78938943658014,50,50,Tooth.GAP
29,1349,93.56278840320641,50,50,Tooth.TOOTH
30,1405,92.15371229191668,50,50,Tooth.TOOTH
31,1468,90.34484418302162,50,50,Tooth.TOOTH
32,1500,98.89082034588974,50,50,Tooth.TOOTH
33,1548,98.38847575739331,50,50,Tooth.GAP
34,1591,97.86245166975498,50,50,Tooth.TOOTH
35,1632,104.68727342933695,50,50,Tooth.GAP
36,1657,105.71820876527936,50,50,Tooth.TOOTH
37,1714,110.19660965493185,50,50,Tooth.GAP
38,1774,102.41241387355565,50,50,Tooth.TOOTH
39,1815,99.56106709987411,50,50,Tooth.GAP
40,1870,103.22309206692033,50,50,Tooth.TOOTH
41,1925,116.57583749896122,50,50,Tooth.TOOTH
42,1970,115.97982271381505,50,50,Tooth.CENTER_T
43,2017,112.66789814101202,50,50,Tooth.TOOTH
44,2070,110.20489646634593,50,50,Tooth.TOOTH
45,2116,104.79329313174274,50,50,Tooth.GAP
46,2171,101.3033999128815,50,50,Tooth.TOOTH
47,2224,98.82935654773644,50,50,Tooth.TOOTH
48,2291,96.26309612159372,50,50,Tooth.TOOTH
49,2323,95.09339882599323,50,50,Tooth.GAP
50,2356,96.43856412763054,50,50,Tooth.TOOTH
51,2387,99.31675388345315,50,50,Tooth.GAP
52,2449,94.70036654272977,50,50,Tooth.TOOTH
53,2505,92.66625599030667,50,50,Tooth.TOOTH
54,2549,96.60555131189109,50,50,Tooth.GAP
55,2609,91.1977751139424,50,50,Tooth.TOOTH
56,2670,101.70335569633905,50,50,Tooth.TOOTH
57,2711,94.83690403308707,50,50,Tooth.TOOTH
58,2765,96.17050667512832,50,50,Tooth.TOOTH
59,2803,98.06263528717356,50,50,Tooth.GAP
60,2856,98.79051893956222,50,50,Tooth.TOOTH
61,2901,101.36415223175034,50,50,Tooth.TOOTH
62,2945,95.64830365356167,50,50,Tooth.TOOTH
63,2992,94.24849012097634,50,50,Tooth.TOOTH
64,3043,101.27588266094716,50,50,Tooth.TOOTH
65,3090,103.88482547080918,50,50,Tooth.TOOTH
66,3140,103.78329347742934,50,50,Tooth.TOOTH
67,3185,104.30310682544209,50,50,Tooth.TOOTH
68,3227,95.46607022076418,50,50,Tooth.TOOTH
69,3273,103.85036489529536,50,50,Tooth.TOOTH
70,3316,100.01940462861947,50,50,Tooth.TOOTH
71,3362,97.27990346686387,50,50,Tooth.TOOTH
72,3403,102.49915166458993,50,50,Tooth.GAP
73,3443,105.70515134623166,50,50,Tooth.TOOTH
74,3479,103.80745902268934,50,50,Tooth.TOOTH
75,3531,100.24527819265907,50,50,Tooth.TOOTH
76,3557,103.71989260673621,50,50,Tooth.TOOTH
77,3595,103.31453568539116,50,50,Tooth.GAP
78,3635,105.41362767292253,50,50,Tooth.TOOTH
79,3671,99.16551521774073,50,50,Tooth.TOOTH
80,3713,101.10828037916416,50,50,Tooth.TOOTH
81,3751,104.36114473629377,50,50,Tooth.TOOTH
82,3788,99.4541467327348,50,50,Tooth.TOOTH
83,3828,99.71460657579902,50,50,Tooth.TOOTH
84,3868,98.01804518992691,50,50,Tooth.TOOTH
85,3910,100.14773700797565,50,50,Tooth.TOOTH
86,3947,93.63368826383461,50,50,Tooth.GAP
87,3992,93.5577486919237,50,50,Tooth.TOOTH
