,Unnamed: 0,x,y,w,h,type
0,0,108,1862,68,44,Tooth.TOOTH
1,1,119,1817,30,30,Tooth.GAP
2,2,151,1768,30,30,Tooth.TOOTH
3,3,168,1697,30,30,Tooth.TOOTH
4,4,170,1731,30,30,Tooth.TOOTH
5,5,183,1648,36,35,Tooth.TOOTH
6,6,198,1624,30,30,Tooth.TOOTH
7,7,220,1584,30,30,Tooth.TOOTH
8,8,225,1540,68,44,Tooth.TOOTH
9,9,235,1506,36,35,Tooth.TOOTH
10,10,260,1477,30,30,Tooth.TOOTH
11,11,268,1434,68,44,Tooth.TOOTH
12,12,293,1407,30,30,Tooth.GAP
13,13,297,1365,68,44,Tooth.TOOTH
14,14,315,1325,68,44,Tooth.TOOTH
15,15,327,1281,49,43,Tooth.TOOTH
16,16,359,1239,30,30,Tooth.GAP
17,17,371,1217,30,30,Tooth.GAP
18,18,395,1173,68,44,Tooth.TOOTH
19,19,401,1132,68,44,Tooth.TOOTH
20,20,410,1092,30,30,Tooth.TOOTH
21,21,435,1054,68,44,Tooth.TOOTH
22,22,452,1010,68,44,Tooth.TOOTH
23,23,480,969,30,30,Tooth.TOOTH
24,24,503,924,30,30,Tooth.TOOTH
25,25,505,881,30,30,Tooth.GAP
26,26,535,840,30,30,Tooth.TOOTH
27,27,559,805,30,30,Tooth.TOOTH
28,28,582,744,30,30,Tooth.TOOTH
29,29,615,695,30,30,Tooth.TOOTH
30,30,641,656,30,30,Tooth.TOOTH
31,31,659,610,30,30,Tooth.TOOTH
32,32,688,567,30,30,Tooth.TOOTH
33,33,706,534,30,30,Tooth.GAP
34,34,737,465,38,60,Tooth.TOOTH
35,35,769,425,38,60,Tooth.TOOTH
36,36,806,400,30,30,Tooth.GAP
37,37,830,351,38,60,Tooth.TOOTH
38,38,867,320,38,60,Tooth.TOOTH
39,39,899,308,30,30,Tooth.GAP
40,40,921,270,38,60,Tooth.TOOTH
41,41,958,239,38,60,Tooth.TOOTH
42,42,1009,227,30,30,Tooth.GAP
43,43,1052,196,38,60,Tooth.TOOTH
44,44,1101,188,30,30,Tooth.TOOTH
45,45,1157,182,30,30,Tooth.TOOTH
46,96,1199,180,30,30,Tooth.CENTER_T
47,46,1237,167,38,64,Tooth.TOOTH
48,47,1285,171,38,60,Tooth.TOOTH
49,48,1335,181,30,30,Tooth.TOOTH
50,49,1383,204,30,30,Tooth.GAP
51,50,1425,235,36,35,Tooth.TOOTH
52,51,1459,247,30,30,Tooth.GAP
53,52,1480,267,36,35,Tooth.TOOTH
54,53,1520,277,30,30,Tooth.GAP
55,54,1556,302,30,30,Tooth.TOOTH
56,55,1580,325,30,30,Tooth.TOOTH
57,56,1611,364,36,35,Tooth.TOOTH
58,57,1667,396,30,30,Tooth.TOOTH
59,58,1690,431,30,30,Tooth.TOOTH
60,59,1733,475,30,30,Tooth.TOOTH
61,60,1767,522,30,30,Tooth.TOOTH
62,61,1795,564,30,30,Tooth.TOOTH
63,62,1820,603,30,30,Tooth.GAP
64,63,1845,642,30,30,Tooth.TOOTH
65,64,1869,677,30,30,Tooth.TOOTH
66,65,1886,716,30,30,Tooth.TOOTH
67,66,1916,760,30,30,Tooth.TOOTH
68,67,1936,792,49,43,Tooth.TOOTH
69,68,1965,846,30,30,Tooth.TOOTH
70,69,1998,889,30,30,Tooth.TOOTH
71,70,2011,924,30,30,Tooth.GAP
72,71,2033,956,49,43,Tooth.TOOTH
73,72,2055,1007,30,30,Tooth.TOOTH
74,73,2060,1043,48,40,Tooth.TOOTH
75,74,2098,1088,30,30,Tooth.GAP
76,75,2109,1113,30,30,Tooth.GAP
77,76,2129,1147,49,43,Tooth.TOOTH
78,77,2158,1195,30,30,Tooth.TOOTH
79,78,2175,1228,36,35,Tooth.TOOTH
80,79,2195,1262,30,30,Tooth.TOOTH
81,80,2195,1296,48,40,Tooth.TOOTH
82,81,2225,1336,36,35,Tooth.TOOTH
83,82,2244,1370,30,30,Tooth.TOOTH
84,83,2260,1402,30,30,Tooth.TOOTH
85,84,2268,1435,49,43,Tooth.TOOTH
86,85,2292,1476,36,35,Tooth.TOOTH
87,86,2315,1542,48,40,Tooth.TOOTH
88,87,2316,1511,30,30,Tooth.TOOTH
89,88,2348,1585,30,30,Tooth.TOOTH
90,89,2362,1625,30,30,Tooth.GAP
91,90,2382,1666,30,30,Tooth.TOOTH
92,91,2398,1706,30,30,Tooth.GAP
93,92,2403,1735,48,40,Tooth.TOOTH
94,93,2428,1785,30,30,Tooth.TOOTH
95,94,2442,1817,30,30,Tooth.GAP
96,95,2450,1847,30,30,Tooth.TOOTH
