,x,y,w,h,score,match
65,47,1858,30,30,0.7611652,small_round.jpg
12,59,1793,30,30,0.82163334,top_left.jpg
70,80,1734,30,30,0.78728336,12_20_2022 LG 282 copy.jpg
11,96,1691,30,30,0.8589156,top_left.jpg
68,114,1652,30,30,0.78002906,left_angled.jpg
64,127,1612,30,30,0.8560787,small_round.jpg
10,173,1507,30,30,0.86847484,top_left.jpg
36,203,1875,30,30,0.804149,middle round.jpg
63,206,1436,30,30,0.8142591,small_round.jpg
9,238,1365,30,30,0.8392397,top_left.jpg
62,272,1292,30,30,0.8308949,small_round.jpg
69,310,1209,30,30,0.8388765,12_20_2022 LG 282 copy.jpg
5,333,1666,30,30,0.7848299,left_back_bent.jpg
61,341,1143,30,30,0.8406817,small_round.jpg
41,378,1065,30,30,0.8258162,03_18_2023 LG 282 copy.jpg
4,391,1122,30,30,0.7848927,left_back_bent.jpg
59,403,1023,30,30,0.82590616,small_round.jpg
46,415,1570,30,30,0.87557,03_18_2023 LG 282 copy.jpg
40,420,985,30,30,0.83493364,03_18_2023 LG 282 copy.jpg
39,437,946,30,30,0.84484816,03_18_2023 LG 282 copy.jpg
57,467,901,30,30,0.78017044,small_round.jpg
56,489,858,30,30,0.8414919,small_round.jpg
38,507,817,30,30,0.8032376,03_18_2023 LG 282 copy.jpg
3,512,921,30,30,0.7654994,left_back_bent.jpg
55,536,776,30,30,0.8046406,small_round.jpg
2,578,841,30,30,0.7530404,left_back_bent.jpg
37,579,686,30,30,0.7939054,03_18_2023 LG 282 copy.jpg
52,609,644,30,30,0.866734,small_round.jpg
34,667,553,30,30,0.85778636,middle round.jpg
33,699,508,30,30,0.82216495,middle round.jpg
31,731,466,30,30,0.7564258,middle round.jpg
0,811,439,30,30,0.8288605,left_back_bent.jpg
29,867,313,30,30,0.76939905,middle round.jpg
14,952,287,30,30,0.78874516,round_light.jpg
28,1037,244,30,30,0.76864296,middle round.jpg
21,1039,186,30,30,0.77105784,middle round.jpg
25,1075,227,30,30,0.80670345,middle round.jpg
19,1089,168,30,30,0.85340416,middle round.jpg
13,1175,203,30,30,0.78399456,round_light.jpg
17,1188,147,30,30,0.80394447,middle round.jpg
22,1227,191,30,30,0.7897579,middle round.jpg
16,1278,146,30,30,0.84586406,middle round.jpg
24,1289,205,30,30,0.8021775,middle round.jpg
18,1371,165,30,30,0.80032086,middle round.jpg
26,1388,229,30,30,0.80626833,middle round.jpg
20,1426,184,30,30,0.834577,middle round.jpg
27,1432,242,30,30,0.8201368,middle round.jpg
23,1469,203,30,30,0.7574693,middle round.jpg
30,1614,318,30,30,0.78835374,middle round.jpg
8,1649,349,30,30,0.7924107,top_left.jpg
32,1748,474,30,30,0.83194077,middle round.jpg
50,1802,568,30,30,0.8116016,small_round.jpg
51,1826,611,30,30,0.8363147,small_round.jpg
53,1854,655,30,30,0.7834618,small_round.jpg
1,1880,697,30,30,0.8023397,left_back_bent.jpg
15,1907,740,30,30,0.8612175,round_light.jpg
54,1917,775,30,30,0.783417,small_round.jpg
66,1945,816,30,30,0.78607833,left_angled.jpg
58,1984,904,30,30,0.7874745,small_round.jpg
60,2065,1068,30,30,0.8124042,small_round.jpg
35,2140,1222,30,30,0.801101,middle round.jpg
42,2166,1296,30,30,0.8082221,03_18_2023 LG 282 copy.jpg
43,2181,1332,30,30,0.7828175,03_18_2023 LG 282 copy.jpg
44,2227,1442,30,30,0.76782185,03_18_2023 LG 282 copy.jpg
67,2247,1481,30,30,0.7868895,left_angled.jpg
45,2272,1551,30,30,0.8044949,03_18_2023 LG 282 copy.jpg
47,2303,1626,30,30,0.81096613,03_18_2023 LG 282 copy.jpg
48,2320,1665,30,30,0.75228345,03_18_2023 LG 282 copy.jpg
49,2337,1702,30,30,0.7723543,03_18_2023 LG 282 copy.jpg
6,2387,1801,30,30,0.7506521,left_back_bent.jpg
7,2487,1809,30,30,0.7672749,left_back_bent.jpg
